roadmap_id,domain_id,workflow_id,question_id,recommendation_id,action_id,transformation_id,phase_number,phase_name,milestone_name,milestone_description,owner_role,dependency,indicative_timeline,target_outcome,kpi_focus,automation_or_ai_opportunity
RDM-D01-01-01,D01,WF-D01-01,Q-D01-01-01,REC-D01-01-01,ACT-D01-01-01,TRN-D01-01-01,1,Design and Ownership Reset,Standardise Strategy and Growth Planning,"Define the future-state operating standard for strategy and growth planning, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Strategy and Growth Planning can be run from a clear standard rather than tribal knowledge.,"on-time planning cycle completion, initiative milestone attainment, and variance to plan","automated planning reminders, action trackers, and exception workflows"
RDM-D01-01-02,D01,WF-D01-01,Q-D01-01-02,REC-D01-01-02,ACT-D01-01-02,TRN-D01-01-02,2,Execution Stabilisation,Stabilise execution of Strategy and Growth Planning,"Remove the most material points of delay, rework, and inconsistency in strategy and growth planning and embed service-quality expectations.",Executive Leadership,"WF-D01-01 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Strategy and Growth Planning operates with better predictability, lower friction, and less leakage into downstream teams.","on-time planning cycle completion, initiative milestone attainment, and variance to plan","automated planning reminders, action trackers, and exception workflows"
RDM-D01-01-03,D01,WF-D01-01,Q-D01-01-03,REC-D01-01-03,ACT-D01-01-03,TRN-D01-01-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Strategy and Growth Planning,"Create trusted KPI visibility over strategy and growth planning, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-01 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage strategy and growth planning proactively and protect revenue plan attainment risk with earlier intervention.,"on-time planning cycle completion, initiative milestone attainment, and variance to plan",initiative risk scoring and summary generation from review packs
RDM-D01-02-01,D01,WF-D01-02,Q-D01-02-01,REC-D01-02-01,ACT-D01-02-01,TRN-D01-02-01,1,Design and Ownership Reset,Standardise Customer and Segment Definition,"Define the future-state operating standard for customer and segment definition, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Customer and Segment Definition can be run from a clear standard rather than tribal knowledge.,"qualified lead rate by segment, win rate by segment, and revenue mix by segment",auto-tagging and routing by segment rules
RDM-D01-02-02,D01,WF-D01-02,Q-D01-02-02,REC-D01-02-02,ACT-D01-02-02,TRN-D01-02-02,2,Execution Stabilisation,Stabilise execution of Customer and Segment Definition,"Remove the most material points of delay, rework, and inconsistency in customer and segment definition and embed service-quality expectations.",Executive Leadership,"WF-D01-02 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Customer and Segment Definition operates with better predictability, lower friction, and less leakage into downstream teams.","qualified lead rate by segment, win rate by segment, and revenue mix by segment",auto-tagging and routing by segment rules
RDM-D01-02-03,D01,WF-D01-02,Q-D01-02-03,REC-D01-02-03,ACT-D01-02-03,TRN-D01-02-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Customer and Segment Definition,"Create trusted KPI visibility over customer and segment definition, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-02 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage customer and segment definition proactively and protect target segment conversion leakage with earlier intervention.,"qualified lead rate by segment, win rate by segment, and revenue mix by segment",propensity models for segment fit and prioritization
RDM-D01-03-01,D01,WF-D01-03,Q-D01-03-01,REC-D01-03-01,ACT-D01-03-01,TRN-D01-03-01,1,Design and Ownership Reset,Standardise Offer and Service Design,"Define the future-state operating standard for offer and service design, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Offer and Service Design can be run from a clear standard rather than tribal knowledge.,"gross margin by offer, delivery variance, and exception rate to standard",guided configuration and rule-based approvals
RDM-D01-03-02,D01,WF-D01-03,Q-D01-03-02,REC-D01-03-02,ACT-D01-03-02,TRN-D01-03-02,2,Execution Stabilisation,Stabilise execution of Offer and Service Design,"Remove the most material points of delay, rework, and inconsistency in offer and service design and embed service-quality expectations.",Executive Leadership,"WF-D01-03 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Offer and Service Design operates with better predictability, lower friction, and less leakage into downstream teams.","gross margin by offer, delivery variance, and exception rate to standard",guided configuration and rule-based approvals
RDM-D01-03-03,D01,WF-D01-03,Q-D01-03-03,REC-D01-03-03,ACT-D01-03-03,TRN-D01-03-03,3,"Visibility, Automation, and Control",Introduce KPI control and transformation for Offer and Service Design,"Create trusted KPI visibility over offer and service design, embed review and escalation, and prioritise automation or intelligence use cases with measurable payback.",Executive Leadership,"WF-D01-03 agreed process design, data definitions, and owner accountability","2-6 weeks to define KPIs, build visibility, and embed review cadence",Leadership can manage offer and service design proactively and protect offer margin and win-rate leakage with earlier intervention.,"gross margin by offer, delivery variance, and exception rate to standard",recommendations for offer configuration based on deal context
RDM-D01-04-01,D01,WF-D01-04,Q-D01-04-01,REC-D01-04-01,ACT-D01-04-01,TRN-D01-04-01,1,Design and Ownership Reset,Standardise Pricing Model Design,"Define the future-state operating standard for pricing model design, including roles, decision rights, system steps, handoffs, and evidence requirements.",Executive Leadership,,"2-4 weeks to design and align, depending on complexity",Pricing Model Design can be run from a clear standard rather than tribal knowledge.,"average discount to list, gross margin, and price realization",rule-based pricing approvals and quote controls
RDM-D01-04-02,D01,WF-D01-04,Q-D01-04-02,REC-D01-04-02,ACT-D01-04-02,TRN-D01-04-02,2,Execution Stabilisation,Stabilise execution of Pricing Model Design,"Remove the most material points of delay, rework, and inconsistency in pricing model design and embed service-quality expectations.",Executive Leadership,"WF-D01-04 future-state standard, ownership, and service expectations",4-8 weeks to stabilise and embed,"Pricing Model Design operates with better predictability, lower friction, and less leakage into downstream teams.","average discount to list, gross margin, and price realization",rule-based pricing approvals and quote controls
