recommendation_id,issue_type,recommendation_title,recommendation_text,recommendation_type,linked_driver,linked_metric,why_this_matters,expected_outcome,advisory_note
REC-D01-01-01,unclear_workflow_definition,Design and standardize Strategy and Growth Planning,"Redesign strategy and growth planning as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that strategic priorities are translated into funded initiatives, owners, milestones, and review routines rather than depending on informal practice.",Process Design and Standardisation,Strategic Clarity,Revenue Plan Attainment Risk,This matters because weak control over strategy and growth planning directly increases the risk of revenue plan attainment risk and reduces management confidence in performance.,A documented and owned standard for strategy and growth planning that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for strategy and growth planning."
REC-D01-01-02,inconsistent_workflow_execution,Stabilize execution of Strategy and Growth Planning,"Stabilize day-to-day execution of strategy and growth planning by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Strategic Clarity,Revenue Plan Attainment Risk,This matters because weak control over strategy and growth planning directly increases the risk of revenue plan attainment risk and reduces management confidence in performance.,"More predictable execution of strategy and growth planning with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in strategy and growth planning, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-01-03,weak_workflow_visibility_and_control,Introduce KPI control for Strategy and Growth Planning,"Establish a management-control layer for strategy and growth planning with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue plan attainment risk.","Control, Reporting, and Exception Management",Strategic Clarity,Revenue Plan Attainment Risk,This matters because weak control over strategy and growth planning directly increases the risk of revenue plan attainment risk and reduces management confidence in performance.,Earlier visibility into issues within strategy and growth planning and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over strategy and growth planning, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D01-02-01,unclear_workflow_definition,Design and standardize Customer and Segment Definition,"Redesign customer and segment definition as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that the business targets the right customers and segments with clear qualification and value propositions rather than depending on informal practice.",Process Design and Standardisation,ICP Clarity,Target Segment Conversion Leakage,This matters because weak control over customer and segment definition directly increases the risk of target segment conversion leakage and reduces management confidence in performance.,A documented and owned standard for customer and segment definition that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for customer and segment definition."
REC-D01-02-02,inconsistent_workflow_execution,Stabilize execution of Customer and Segment Definition,"Stabilize day-to-day execution of customer and segment definition by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,ICP Clarity,Target Segment Conversion Leakage,This matters because weak control over customer and segment definition directly increases the risk of target segment conversion leakage and reduces management confidence in performance.,"More predictable execution of customer and segment definition with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in customer and segment definition, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-02-03,weak_workflow_visibility_and_control,Introduce KPI control for Customer and Segment Definition,"Establish a management-control layer for customer and segment definition with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect target segment conversion leakage.","Control, Reporting, and Exception Management",ICP Clarity,Target Segment Conversion Leakage,This matters because weak control over customer and segment definition directly increases the risk of target segment conversion leakage and reduces management confidence in performance.,Earlier visibility into issues within customer and segment definition and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over customer and segment definition, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D01-03-01,unclear_workflow_definition,Design and standardize Offer and Service Design,"Redesign offer and service design as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that offers are commercially viable, operationally deliverable, and clearly scoped before they are sold rather than depending on informal practice.",Process Design and Standardisation,Offer Fit and Clarity,Offer Margin and Win-Rate Leakage,This matters because weak control over offer and service design directly increases the risk of offer margin and win-rate leakage and reduces management confidence in performance.,A documented and owned standard for offer and service design that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for offer and service design."
REC-D01-03-02,inconsistent_workflow_execution,Stabilize execution of Offer and Service Design,"Stabilize day-to-day execution of offer and service design by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Offer Fit and Clarity,Offer Margin and Win-Rate Leakage,This matters because weak control over offer and service design directly increases the risk of offer margin and win-rate leakage and reduces management confidence in performance.,"More predictable execution of offer and service design with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in offer and service design, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D01-03-03,weak_workflow_visibility_and_control,Introduce KPI control for Offer and Service Design,"Establish a management-control layer for offer and service design with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect offer margin and win-rate leakage.","Control, Reporting, and Exception Management",Offer Fit and Clarity,Offer Margin and Win-Rate Leakage,This matters because weak control over offer and service design directly increases the risk of offer margin and win-rate leakage and reduces management confidence in performance.,Earlier visibility into issues within offer and service design and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over offer and service design, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D01-04-01,unclear_workflow_definition,Design and standardize Pricing Model Design,"Redesign pricing model design as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that pricing reflects value, protects margin, and can be applied consistently across teams and systems rather than depending on informal practice.",Process Design and Standardisation,Pricing Architecture,Pricing / Discount Leakage,This matters because weak control over pricing model design directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,A documented and owned standard for pricing model design that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for pricing model design."
