finding_id,question_id,domain_id,workflow_id,recommendation_id,action_id,score_band,severity_label,finding_title,finding_text,business_impact,likely_root_cause,evidence_to_validate,report_priority
FND-D01-01-01-12,Q-D01-01-01,D01,WF-D01-01,REC-D01-01-01,ACT-D01-01-01,1-2,Critical / Weak,Strategy and Growth Planning is not operating from a clear and controlled standard,"The audit indicates that strategy and growth planning is not yet defined as an end-to-end controlled process. Critical elements such as planning inputs, decision points, ownership, cadence, and approval rules are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve better strategic execution, faster decisions, and stronger operating discipline.",Weakness in strategy and growth planning increases exposure to revenue plan attainment risk and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on planning inputs, decision points, ownership, cadence, and approval rules.","planning calendar, priority register, and meeting pack or planning deck",High
FND-D01-01-01-3,Q-D01-01-01,D01,WF-D01-01,REC-D01-01-01,ACT-D01-01-01,3,Developing,Strategy and Growth Planning has a partial standard but still depends on inconsistent practice,"The audit indicates that strategy and growth planning has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in strategy and growth planning increases exposure to revenue plan attainment risk and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on planning inputs, decision points, ownership, cadence, and approval rules.","planning calendar, priority register, and meeting pack or planning deck",Medium
FND-D01-01-01-45,Q-D01-01-01,D01,WF-D01-01,REC-D01-01-01,ACT-D01-01-01,4-5,Strong / Managed,Strategy and Growth Planning is largely standardised and well owned,"The audit indicates that strategy and growth planning is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in strategy and growth planning supports stronger control over revenue plan attainment risk and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in strategy and growth planning.","planning calendar, priority register, and meeting pack or planning deck",Low
FND-D01-01-02-12,Q-D01-01-02,D01,WF-D01-01,REC-D01-01-02,ACT-D01-01-02,1-2,Critical / Weak,Strategy and Growth Planning execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of strategy and growth planning is unstable. Common symptoms include late inputs, unclear priorities, weak follow-through, and decisions being revisited repeatedly, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of revenue plan attainment risk.",Weakness in strategy and growth planning increases exposure to revenue plan attainment risk and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","planning calendar, priority register, and meeting pack or planning deck",High
FND-D01-01-02-3,Q-D01-01-02,D01,WF-D01-01,REC-D01-01-02,ACT-D01-01-02,3,Developing,Strategy and Growth Planning execution is functioning but not yet consistently reliable,"The audit indicates that strategy and growth planning can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in strategy and growth planning increases exposure to revenue plan attainment risk and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","planning calendar, priority register, and meeting pack or planning deck",Medium
FND-D01-01-02-45,Q-D01-01-02,D01,WF-D01-01,REC-D01-01-02,ACT-D01-01-02,4-5,Strong / Managed,Strategy and Growth Planning execution is disciplined and predictable,"The audit indicates that strategy and growth planning runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in strategy and growth planning supports stronger control over revenue plan attainment risk and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in strategy and growth planning.","planning calendar, priority register, and meeting pack or planning deck",Low
FND-D01-01-03-12,Q-D01-01-03,D01,WF-D01-01,REC-D01-01-03,ACT-D01-01-03,1-2,Critical / Weak,Strategy and Growth Planning lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over strategy and growth planning. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in strategy and growth planning increases exposure to revenue plan attainment risk and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","planning calendar, priority register, and meeting pack or planning deck",High
FND-D01-01-03-3,Q-D01-01-03,D01,WF-D01-01,REC-D01-01-03,ACT-D01-01-03,3,Developing,Strategy and Growth Planning has partial reporting but incomplete control,"The audit indicates that some reporting is in place for strategy and growth planning, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in strategy and growth planning increases exposure to revenue plan attainment risk and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","planning calendar, priority register, and meeting pack or planning deck",Medium
FND-D01-01-03-45,Q-D01-01-03,D01,WF-D01-01,REC-D01-01-03,ACT-D01-01-03,4-5,Strong / Managed,"Strategy and Growth Planning is visible, measured, and actively managed","The audit indicates that strategy and growth planning is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in strategy and growth planning supports stronger control over revenue plan attainment risk and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in strategy and growth planning.","planning calendar, priority register, and meeting pack or planning deck",Low
FND-D01-02-01-12,Q-D01-02-01,D01,WF-D01-02,REC-D01-02-01,ACT-D01-02-01,1-2,Critical / Weak,Customer and Segment Definition is not operating from a clear and controlled standard,"The audit indicates that customer and segment definition is not yet defined as an end-to-end controlled process. Critical elements such as segment criteria, customer definitions, qualification logic, and ownership of updates are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve better strategic execution, faster decisions, and stronger operating discipline.",Weakness in customer and segment definition increases exposure to target segment conversion leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on segment criteria, customer definitions, qualification logic, and ownership of updates.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",High
FND-D01-02-01-3,Q-D01-02-01,D01,WF-D01-02,REC-D01-02-01,ACT-D01-02-01,3,Developing,Customer and Segment Definition has a partial standard but still depends on inconsistent practice,"The audit indicates that customer and segment definition has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in customer and segment definition increases exposure to target segment conversion leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on segment criteria, customer definitions, qualification logic, and ownership of updates.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",Medium
FND-D01-02-01-45,Q-D01-02-01,D01,WF-D01-02,REC-D01-02-01,ACT-D01-02-01,4-5,Strong / Managed,Customer and Segment Definition is largely standardised and well owned,"The audit indicates that customer and segment definition is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in customer and segment definition supports stronger control over target segment conversion leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in customer and segment definition.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",Low
FND-D01-02-02-12,Q-D01-02-02,D01,WF-D01-02,REC-D01-02-02,ACT-D01-02-02,1-2,Critical / Weak,Customer and Segment Definition execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of customer and segment definition is unstable. Common symptoms include targeting drift, poor-fit leads, inconsistent qualification, and reporting that cannot be segmented cleanly, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of target segment conversion leakage.",Weakness in customer and segment definition increases exposure to target segment conversion leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",High
FND-D01-02-02-3,Q-D01-02-02,D01,WF-D01-02,REC-D01-02-02,ACT-D01-02-02,3,Developing,Customer and Segment Definition execution is functioning but not yet consistently reliable,"The audit indicates that customer and segment definition can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in customer and segment definition increases exposure to target segment conversion leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP",Medium
