Appendix — 31_lib_questions,,,,,,,,,,
Copied from the latest tailored AI Readiness content pack.,,,,,,,,,,
,,,,,,,,,,
question_id,domain_id,question_text,question_guidance,evidence_examples,scoring_1_desc,scoring_2_desc,scoring_3_desc,scoring_4_desc,scoring_5_desc,question_order
AIR-Q001,AIR-D01,Has leadership clearly defined why the business wants to use AI?,"Confirm whether leadership has named specific business problems AI is meant to address, such as slow proposal turnaround, weak lead qualification, reporting delays, or service bottlenecks, rather than a broad desire to 'use AI'.",board papers; strategy deck; annual operating plan; transformation roadmap; executive interview notes,AI is discussed as a trend or brand signal with no defined business problem.,"Leadership refers to broad goals like innovation or efficiency, but no concrete operational or commercial targets are named.","One or two business problems are referenced, but the rationale is not documented or consistently understood.",Leadership has defined clear target problems and expected benefits for the main AI focus areas.,"A documented AI thesis links named business problems, target workflows, and measurable outcomes.",1
AIR-Q002,AIR-D01,Are AI opportunities linked to measurable business priorities?,"Check whether proposed AI use cases map directly to business priorities such as revenue growth, margin protection, service speed, compliance control, or cost-to-serve reduction.",KPI tree; business scorecard; department goals; transformation business case; operating plan,AI ideas have no visible link to strategic or operational priorities.,"A loose link is implied, but use cases are not tied to owned business metrics.","Some use cases map to priorities, though the links are incomplete or uneven across functions.",Most shortlisted use cases are tied to named business priorities and performance metrics.,"All priority use cases are explicitly linked to owned KPIs, expected impact, and sponsoring leaders.",2
AIR-Q003,AIR-D01,Has the business identified and ranked priority AI use cases?,"Look for a ranked shortlist that separates nice-to-have ideas from near-term pilot candidates using criteria such as value, feasibility, data readiness, risk, and time to value.",use case register; prioritization matrix; workshop outputs; pilot shortlist,No AI use cases have been identified or documented.,"A list of ideas exists, but there is no ranking or screening logic.","A shortlist exists, but prioritization is subjective or missing key criteria such as risk or feasibility.",Priority use cases have been ranked using practical business and delivery criteria.,"A maintained use case portfolio is ranked by value, feasibility, data readiness, risk, and ownership.",3
AIR-Q004,AIR-D01,Is there clear executive ownership for AI direction?,"Confirm whether one executive has authority to approve priorities, resolve trade-offs, and own AI direction across business and technology teams.",governance chart; steering committee terms; role descriptions; decision log,No executive owner is accountable for AI direction.,"Several leaders show interest, but accountability is diffuse and decision rights are unclear.","An owner is informally recognized, but authority or sponsorship is weak.",A clear executive sponsor owns direction and can make prioritization decisions.,"An accountable executive sponsor is formally mandated, active, and integrated into governance.",4
AIR-Q005,AIR-D01,Has budget or resource capacity been considered for AI initiatives?,"Assess whether the business has considered budget, people capacity, change effort, data work, and integration effort rather than only software subscription cost.",budget pack; resourcing plan; vendor estimates; project portfolio; hiring plan,"No budget, capacity, or delivery effort has been considered.","A tool budget may exist, but delivery effort, data work, and business capacity are not planned.","Some resourcing has been discussed, but commitments are partial or optimistic.",Budget and delivery capacity have been considered for the main pilot candidates.,"Funding, internal capacity, external support needs, and sequencing are clearly planned.",5
AIR-Q006,AIR-D01,Has the business distinguished between automation opportunities and true AI opportunities?,"Test whether the business can distinguish between fixing the process, automating rules, and applying AI judgment, generation, retrieval, or prediction.",workflow redesign notes; automation inventory; use case screen; workshop outputs,All inefficiencies are being labelled as AI opportunities.,There is limited understanding of where rules-based automation would solve the problem better.,"Some teams distinguish automation from AI, but the logic is inconsistent.","Most shortlisted opportunities have been correctly classified as process, automation, or AI.","A clear decision method consistently separates process fixes, automation candidates, and true AI use cases.",6
AIR-Q007,AIR-D01,Is there a decision framework for evaluating new AI use cases?,"Review whether new ideas are assessed through a repeatable framework covering business value, feasibility, data dependency, integration complexity, risk, and ownership.",screening template; intake process; governance checklist; use case scorecard,No consistent method exists to assess new AI requests.,Requests are evaluated ad hoc based on enthusiasm or vendor pressure.,"Basic evaluation criteria exist, but they are not consistently applied.",A repeatable framework is used for most new AI proposals.,A formal intake and screening process is consistently used and informs portfolio decisions.,7
AIR-Q008,AIR-D01,Is there a phased AI roadmap or pilot path aligned to business maturity?,"Check whether the roadmap sequences foundation work, automation cleanup, pilots, and scale in a way that matches current maturity rather than jumping straight to enterprise rollout.",AI roadmap; pilot plan; transformation plan; stage-gate model,No roadmap or pilot path exists.,"There is a tools-first aspiration, but no sequenced plan from readiness to rollout.","A roadmap exists, but dependencies and maturity gates are only partly reflected.",A phased roadmap aligns key pilots to readiness work and business priorities.,"A staged roadmap clearly sequences foundations, pilots, scale decisions, and operating model changes.",8
AIR-Q009,AIR-D02,Have target workflows for AI been clearly identified?,"Confirm that specific workflows have been named, bounded, and linked to departments, users, triggers, and outputs—for example proposal drafting, ticket triage, or meeting note capture.",process inventory; workflow maps; operations interviews; use case register,No specific workflows have been identified.,"Broad functions are named, but not the actual workflows where AI would be used.","Some workflows are named, though boundaries, owners, or trigger points are still unclear.",Priority workflows are clearly identified with enough detail to assess them.,"A documented workflow inventory links each AI candidate to owners, volume, users, and expected outcomes.",1
AIR-Q010,AIR-D02,"Do candidate workflows involve repetitive interpretation, drafting, classification, or decision support?","Assess whether the workflow genuinely contains AI-suitable tasks such as summarizing calls, drafting first-pass content, classifying requests, searching knowledge, or supporting judgment-based routing.",task samples; SOPs; call notes; service queues; document examples,The shortlisted workflows do not contain meaningful AI-suitable tasks.,Only isolated or low-value tasks within the workflow would benefit from AI.,"Some tasks within the workflow fit AI, but the case is mixed.",The workflow contains several repetitive cognitive tasks suited to AI support.,"The workflow is rich in repetitive interpretation, drafting, retrieval, or decision-support tasks that strongly suit AI.",2
