Finding ID,Domain ID,Domain Name,Score Trigger,Finding Title,Finding Summary Template,Common Root Cause Themes
FND-DFD-D01-CW,D01,Source of Truth & System Architecture,1-2,No clear source of truth,"Leads, opportunities, customers, invoices, and KPI reports are being assembled from conflicting CRM exports, finance files, and shadow spreadsheets, so the business lacks a governed source of truth for core management numbers.",No approved system-of-record policy; fragmented tool ownership; spreadsheet workarounds; mismatched object and field design
FND-DFD-D01-D,D01,Source of Truth & System Architecture,3,Partial source-of-truth clarity,"Some core objects have a defined source, but KPI reporting still depends on manual extracts, local spreadsheets, or inconsistent field mapping across CRM, finance, and service data.",Incomplete source mapping; partial integration coverage; inconsistent field standards; weak lineage documentation
FND-DFD-D01-SM,D01,Source of Truth & System Architecture,4-5,Source architecture is largely controlled,"The source architecture is mostly reliable, though documentation, cross-system reconciliation, and end-to-end lineage can be strengthened to protect reporting as complexity grows.",Growth outpacing documentation; limited reconciliation discipline; unclear integration ownership
FND-DFD-D02-CW,D02,Data Capture Discipline,1-2,Poor data capture discipline,"Required fields, owners, dates, and stage or status updates are not being captured when work happens, so records are completed late or inconsistently and reporting loses credibility.",Missing mandatory fields; weak stage-exit rules; no owner accountability; users updating records after the fact
FND-DFD-D02-D,D02,Data Capture Discipline,3,Inconsistent capture standards,"Basic capture standards exist, but teams are inconsistent in how quickly and fully they update pipeline, billing, or customer records across the month.",Uneven manager enforcement; partial training; inconsistent field validation; weak month-to-month discipline
FND-DFD-D02-SM,D02,Data Capture Discipline,4-5,Capture discipline is strong but can be tightened,"Capture discipline is generally strong, though exception handling and compliance monitoring can be tightened in high-volume or high-risk workflow steps.",Limited exception monitoring; control fatigue in busy teams; light-touch compliance review
FND-DFD-D03-CW,D03,Data Quality & Integrity,1-2,Material data quality issues,"Duplicates, missing values, stale statuses, and inconsistent categories across accounts, deals, invoices, or service records are materially distorting funnel, forecast, billing, or customer reporting.",No cleansing routine; weak validation rules; uncontrolled updates; poor master-data hygiene
FND-DFD-D03-D,D03,Data Quality & Integrity,3,Data quality is usable but inconsistent,"Core reporting is possible, but recurring completeness, freshness, or classification issues still force manual reconciliation and reduce confidence in management numbers.",Reactive cleanup; no measurable quality thresholds; inconsistent stewardship by record type
FND-DFD-D03-SM,D03,Data Quality & Integrity,4-5,Data quality is strong with targeted improvement opportunities,"Data quality is broadly reliable, though targeted controls around anomalies, master-data drift, and exception trends would improve resilience as volume grows.",Limited anomaly monitoring; master-data ownership not fully matured; controls focused on cleanup more than prevention
FND-DFD-D04-CW,D04,Workflow Visibility in Data,1-2,Workflow visibility is broken in the data,"The data does not show the full lifecycle from lead to cash and ongoing customer delivery, leaving handoffs, delays, rework, and drop-off largely invisible.",Workflow steps not translated into system fields or statuses; missing timestamps; handoff events not captured; teams bypassing official stages
FND-DFD-D04-D,D04,Workflow Visibility in Data,3,Workflow visibility is partial,"Major workflow stages are visible, but key blind spots remain in handoffs, aging, backlog, rework, or exception tracking across critical processes.",Partial process mapping; incomplete timestamping; queue states not captured; inconsistent use of workflow fields
FND-DFD-D04-SM,D04,Workflow Visibility in Data,4-5,Workflow visibility is strong but can be made more analytical,"Workflow visibility is strong, though reporting can become more diagnostic by highlighting stalled work, abnormal cycle time, and stage-level risk.",Summary views dominate; limited exception design; weak comparative cycle-time analytics
FND-DFD-D05-CW,D05,KPI & Metric Logic,1-2,KPI logic is not standardized,"Core KPIs are not governed consistently: definitions, formulas, targets, or owners differ across dashboards, spreadsheets, and team reports, making management reporting unreliable.",No KPI dictionary; inconsistent numerator/denominator logic; unclear ownership; thresholds not agreed
FND-DFD-D05-D,D05,KPI & Metric Logic,3,KPI framework is developing,"A core KPI set exists, but some metrics still use inconsistent logic, thresholds, time periods, or ownership across reports and teams.",Incomplete metric governance; weak alignment between team reports and leadership packs; partial target-setting discipline
FND-DFD-D05-SM,D05,KPI & Metric Logic,4-5,KPI framework is strong with room for refinement,"KPI logic is largely controlled, though forward-looking indicators, threshold design, and benchmarking can be improved to make the layer more actionable.",Focus on lagging indicators; limited benchmark context; thresholds not always tied to action
FND-DFD-D06-CW,D06,Reporting & Dashboard Maturity,1-2,Reporting is manual and not decision-ready,"Leadership reporting depends on manual manipulation, duplicated reports, or poorly structured dashboards, so decisions are being made from delayed or conflicting information.",Poor report design; weak data trust; version sprawl; no clear management-report standard
FND-DFD-D06-D,D06,Reporting & Dashboard Maturity,3,Reporting is useful but inconsistent,"Reporting is useful in places, but remains uneven in timeliness, consistency, and decision-focus across stakeholder groups.",Report sprawl; weak refresh discipline; dashboards built for visibility rather than decisions; manual preparation burden
FND-DFD-D06-SM,D06,Reporting & Dashboard Maturity,4-5,Reporting is strong but can be made more actionable,"Reporting is broadly trusted, though it can be made more action-led through clearer exception views, role-based layouts, and early-warning signals.",Limited management-by-exception design; weak proactive alerting; summary-heavy dashboard structure
FND-DFD-D07-CW,D07,Governance & Ownership,1-2,Governance and ownership are weak,"No robust governance model exists to keep data quality, KPI logic, and reporting accuracy under control, with weak ownership and no formal correction routine.",No governance model; unclear accountability; undocumented operating rules; issues resolved informally
FND-DFD-D07-D,D07,Governance & Ownership,3,Governance exists but is inconsistently applied,"Governance exists in parts, but accountability, review cadence, change control, and enforcement are inconsistent across teams.",Partial SOP adoption; inconsistent leadership follow-through; governance meetings not linked to action tracking
FND-DFD-D07-SM,D07,Governance & Ownership,4-5,Governance is strong with maturity improvement potential,"Governance is largely in place, though escalation, control tracking, and continuous improvement can be strengthened.",Limited escalation discipline; control logs not consistently used; governance focused on maintenance more than improvement
