Appendix — 33_lib_recos,,,,,,,
Copied from the latest tailored AI Readiness content pack.,,,,,,,
,,,,,,,
recommendation_id,domain_id,severity_band,recommendation_summary,recommendation_detail,priority_level,,
AIR-R001,AIR-D01,Critical / Weak,Define a business-led AI thesis before discussing tools,"Run an executive alignment exercise that names the business problems AI should address, the outcomes it should move, the workflows that matter first, and the sponsor accountable for decisions.",Critical,,
AIR-R002,AIR-D01,Developing,"Formalise the AI portfolio, ranking logic, and ownership model","Create a standing use case intake and prioritisation method covering value, feasibility, data dependency, risk, and ownership so the best pilot candidates rise to the top consistently.",High,,
AIR-R003,AIR-D01,Strong / Managed,Translate strategy into a governed pilot portfolio,"Convert the approved AI strategy into a small pilot portfolio with sequencing, named sponsors, stage gates, and business-value expectations for each use case.",Medium,,
AIR-R004,AIR-D02,Critical / Weak,Map the real workflows before selecting AI interventions,"Document the candidate workflows end to end, isolate the actual failure points, and distinguish process redesign and automation needs from true AI opportunities.",Critical,,
AIR-R005,AIR-D02,Developing,Tighten workflow design for shortlisted AI use cases,"Strengthen workflow boundaries, pain-point definition, review points, and suitability logic so the shortlisted use cases are pilot-ready rather than conceptually promising only.",High,,
AIR-R006,AIR-D02,Strong / Managed,Advance the best-fit workflows into pilot design,"Take the most stable, high-value workflows and build pilot-ready operating designs including triggers, user touchpoints, review steps, and expected outcomes.",Medium,,
AIR-R007,AIR-D03,Critical / Weak,Build the minimum viable data foundation for the selected pilots,"Identify the exact data inputs each pilot needs, clean critical fields, organise supporting knowledge, and assign ownership so pilot outputs are grounded in usable data.",Critical,,
AIR-R008,AIR-D03,Developing,"Improve data consistency, access, and ownership around priority use cases","Standardise key fields, tighten data quality controls, improve access to the supporting data and knowledge assets, and close the biggest ownership gaps.",High,,
AIR-R009,AIR-D03,Strong / Managed,Package approved data and knowledge inputs for controlled pilot use,"Curate the structured datasets and knowledge assets that will feed the pilots, including freshness rules, ownership, and controls for ongoing maintenance.",Medium,,
AIR-R010,AIR-D04,Critical / Weak,Define a realistic embed-and-integrate path before deployment,"Map where data enters, where AI outputs should land, which systems need to connect, and which manual handoffs must be removed for the selected workflows to work in practice.",Critical,,
AIR-R011,AIR-D04,Developing,Strengthen workflow embedding and orchestration for pilots,"Design cleaner insertion points, reduce manual transfers, and clarify dependency and support ownership so pilot outputs can sit inside the live workflow reliably.",High,,
AIR-R012,AIR-D04,Strong / Managed,Use the existing technology base to embed AI into operational tools,"Implement the pilots inside the systems of work already used by teams, rather than launching a disconnected side workflow.",Medium,,
AIR-R013,AIR-D05,Critical / Weak,Stabilise the process and automate rules before adding AI,"Resolve core process instability, close SOP gaps, handle obvious automation candidates, and reduce dependence on tribal workarounds before AI is introduced.",Critical,,
AIR-R014,AIR-D05,Developing,Tighten process control in the selected workflows,"Clarify business rules, exception handling, handoffs, and oversight design so AI operates inside a cleaner and more consistent process.",High,,
AIR-R015,AIR-D05,Strong / Managed,Introduce AI first where process maturity is already strongest,Start with the most repeatable workflows and use those pilots to prove value before expanding into more variable or exception-heavy processes.,Medium,,
AIR-R016,AIR-D06,Critical / Weak,Put AI operating controls in place before any material rollout,"Define approved data-use rules, sensitive-data restrictions, review requirements, vendor checks, and governance ownership for the selected AI scenarios.",Critical,,
AIR-R017,AIR-D06,Developing,Convert policy into working control mechanisms for pilots,"Build the review matrix, audit trail expectations, access controls, and risk review process needed to govern real pilot workflows rather than principle only.",High,,
AIR-R018,AIR-D06,Strong / Managed,Embed governance into pilot delivery and scale decisions,"Use the existing control foundation to govern approvals, exceptions, incidents, and evidence-based scale decisions across the AI portfolio.",Medium,,
AIR-R019,AIR-D07,Critical / Weak,Build adoption readiness before launch,"Strengthen leadership understanding, assign adoption ownership, address resistance drivers, and prepare the affected teams for how work and oversight will change.",Critical,,
AIR-R020,AIR-D07,Developing,"Formalise training, manager enablement, and change support","Create role-based enablement for managers, users, reviewers, and support teams so pilot adoption is actively managed rather than assumed.",High,,
AIR-R021,AIR-D07,Strong / Managed,Use the existing change capacity to scale adoption deliberately,"Expand from early pilots through manager alignment, champions, feedback loops, and operating-model reinforcement rather than one-off communications.",Medium,,
AIR-R022,AIR-D08,Critical / Weak,"Define value, baseline, and success criteria before further investment","Create a simple but credible value model for each priority use case, define the baseline, and specify what measurable success must look like before approving rollout.",Critical,,
AIR-R023,AIR-D08,Developing,Standardise pilot measurement and scale decision rules,"Build pilot scorecards, pre/post comparison logic, and explicit thresholds for scale, redesign, or stop decisions so evidence drives the next step.",High,,
AIR-R024,AIR-D08,Strong / Managed,Turn measurement into portfolio governance,Use the existing KPI and ROI capability to review live AI performance on a regular cadence and make disciplined investment decisions across the portfolio.,Medium,,
