workflow_id,domain_id,workflow_name,workflow_description,display_order,workflow_objective,typical_evidence,kpi_examples
WF-D01-01,D01,Strategy and Growth Planning,"Assesses whether strategic priorities, growth goals, and execution plans are clearly defined, owned, and translated into operating actions.",1,"strategic priorities are translated into funded initiatives, owners, milestones, and review routines","planning calendar, priority register, and meeting pack or planning deck","on-time planning cycle completion, initiative milestone attainment, and variance to plan"
WF-D01-02,D01,Customer and Segment Definition,"Assesses whether target customers, segments, buying needs, and commercial fit are clearly defined and used consistently across teams.",2,the business targets the right customers and segments with clear qualification and value propositions,"ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","qualified lead rate by segment, win rate by segment, and revenue mix by segment"
WF-D01-03,D01,Offer and Service Design,"Assesses whether offers and services are clearly structured, scoped, documented, and operationally deliverable at the promised standard.",3,"offers are commercially viable, operationally deliverable, and clearly scoped before they are sold","offer catalogue, service blueprint, and commercial rules","gross margin by offer, delivery variance, and exception rate to standard"
WF-D01-04,D01,Pricing Model Design,"Assesses whether pricing models, margin assumptions, and commercial guardrails are intentionally designed and periodically reviewed.",4,"pricing reflects value, protects margin, and can be applied consistently across teams and systems","price book, discount matrix, and approval matrix","average discount to list, gross margin, and price realization"
WF-D01-05,D01,Accountability and Ownership,"Assesses whether critical commercial and operational responsibilities are assigned, understood, and enforced across the business.",5,"teams know who decides, who executes, and who is accountable for operational outcomes","RACI, org accountability map, and escalation matrix","open issue aging, decision turnaround, and cross-functional handoff delays"
WF-D01-06,D01,Management Cadence,"Assesses whether leadership runs a regular operating cadence to review performance, decisions, risks, and execution priorities.",6,"leaders review performance, risk, and execution at the right rhythm and close actions quickly","management calendar, standard agenda, and action log","meeting adherence, action closure rate, and decision turnaround time"
WF-D01-07,D01,Data and Reporting Setup,"Assesses whether the business has reliable data, core KPIs, and reporting routines to support timely and informed decisions.",7,"management decisions are supported by trusted definitions, reliable reporting, and KPI ownership","data dictionary, report catalogue, and KPI owner list","report timeliness, data completeness, and reconciliation exceptions"
WF-D01-08,D01,Systems Landscape,"Assesses whether the systems environment supports execution, control, visibility, integration, and scale readiness.",8,"core systems support the operating model with minimal duplicate entry, manual workarounds, or integration gaps","application landscape, integration map, and system usage standards","integration failure rate, system adoption, and manual workaround volume"
WF-D02-01,D02,Marketing Planning,"Assesses whether marketing priorities, channel plans, budgets, and targets are intentionally set and linked to pipeline outcomes.",1,"marketing activity is aligned to targets, segments, budget, channels, and campaign objectives","planning calendar, priority register, and meeting pack or planning deck","on-time planning cycle completion, initiative milestone attainment, and variance to plan"
WF-D02-02,D02,Campaign Execution,"Assesses whether campaigns are executed consistently, monitored effectively, and optimized against response and conversion goals.",2,"campaigns launch on time, follow standards, and generate measurable qualified response","campaign brief, channel plan, and lead capture standards","MQL volume, cost per qualified lead, and channel conversion"
