Recommendation ID,Related Finding ID,Domain ID,Domain Name,Score Trigger,Recommendation Summary,Priority,Roadmap Phase
REC-DFD-D01-CW,FND-DFD-D01-CW,D01,Source of Truth & System Architecture,1-2,"Establish and approve a system-of-record model for leads, opportunities, customers, invoices, and KPI reporting; remove or control shadow sources; and document end-to-end data lineage.",High,Phase 1
REC-DFD-D01-D,FND-DFD-D01-D,D01,Source of Truth & System Architecture,3,"Standardize source mapping for every critical KPI and reporting object, align cross-system field definitions, and reduce reliance on manual extracts.",Medium,Phase 2
REC-DFD-D01-SM,FND-DFD-D01-SM,D01,Source of Truth & System Architecture,4-5,"Strengthen architecture resilience by formalising lineage, reconciliation rules, and integration ownership across CRM, finance, service, and BI layers.",Low,Phase 3
REC-DFD-D02-CW,FND-DFD-D02-CW,D02,Data Capture Discipline,1-2,"Enforce stage-based capture rules so required owner, status, date, amount, and next-step fields are completed when work occurs, supported by hygiene controls and accountability.",High,Phase 1
REC-DFD-D02-D,FND-DFD-D02-D,D02,Data Capture Discipline,3,"Tighten capture discipline through validation rules, manager compliance reviews, and role-based training on the fields that drive reporting.",Medium,Phase 2
REC-DFD-D02-SM,FND-DFD-D02-SM,D02,Data Capture Discipline,4-5,"Improve capture consistency at scale using exception alerts, targeted refresher training, and tighter monitoring of high-volume workflows.",Low,Phase 3
REC-DFD-D03-CW,FND-DFD-D03-CW,D03,Data Quality & Integrity,1-2,"Complete a structured data remediation for duplicates, missing values, stale stages, and inconsistent categories, then implement controls that prevent the same issues from reappearing.",High,Phase 1
REC-DFD-D03-D,FND-DFD-D03-D,D03,Data Quality & Integrity,3,"Set measurable quality standards for completeness, freshness, classification, and duplicate prevention, with clear stewardship for each record type.",Medium,Phase 2
REC-DFD-D03-SM,FND-DFD-D03-SM,D03,Data Quality & Integrity,4-5,"Add proactive quality monitoring for anomalies, master-data drift, and exception trends so reliability holds as transaction volume grows.",Low,Phase 3
REC-DFD-D04-CW,FND-DFD-D04-CW,D04,Workflow Visibility in Data,1-2,"Redesign workflow data capture so lifecycle stages, handoffs, timestamps, backlog, and drop-off are visible from lead through invoicing, payment, onboarding, and renewal.",High,Phase 1
REC-DFD-D04-D,FND-DFD-D04-D,D04,Workflow Visibility in Data,3,"Close workflow blind spots by adding missing handoff fields, aging views, queue controls, and stage-movement reporting across critical processes.",Medium,Phase 2
REC-DFD-D04-SM,FND-DFD-D04-SM,D04,Workflow Visibility in Data,4-5,"Enhance workflow analytics with stalled-work alerts, cycle-time views, delay analysis, and stage-level risk reporting.",Low,Phase 3
REC-DFD-D05-CW,FND-DFD-D05-CW,D05,KPI & Metric Logic,1-2,"Create an approved KPI dictionary covering exact formulas, inclusion rules, source fields, refresh cadence, owners, and targets for every management metric.",High,Phase 1
REC-DFD-D05-D,FND-DFD-D05-D,D05,KPI & Metric Logic,3,"Align reports, dashboards, and teams to one KPI logic set, with defined thresholds and named owners for review and action.",Medium,Phase 2
REC-DFD-D05-SM,FND-DFD-D05-SM,D05,KPI & Metric Logic,4-5,"Strengthen the KPI layer with leading indicators, benchmark bands, and clearer action thresholds for management use.",Low,Phase 3
REC-DFD-D06-CW,FND-DFD-D06-CW,D06,Reporting & Dashboard Maturity,1-2,"Rebuild the reporting pack around controlled source data, critical management decisions, and exception-based views so leaders are not relying on manual or conflicting reports.",High,Phase 1
REC-DFD-D06-D,FND-DFD-D06-D,D06,Reporting & Dashboard Maturity,3,"Simplify and standardise dashboards, report cadence, and version control so reporting is timely, consistent, and decision-relevant.",Medium,Phase 2
REC-DFD-D06-SM,FND-DFD-D06-SM,D06,Reporting & Dashboard Maturity,4-5,"Improve management reporting with role-based layouts, proactive alerts, and clearer views of risk, backlog, and trend movement.",Low,Phase 3
REC-DFD-D07-CW,FND-DFD-D07-CW,D07,Governance & Ownership,1-2,"Assign explicit ownership for data quality, KPI governance, dashboard logic, and reporting sign-off, supported by SOPs, review cadence, and correction workflows.",High,Phase 1
REC-DFD-D07-D,FND-DFD-D07-D,D07,Governance & Ownership,3,"Formalise governance routines, escalation paths, and control checks so standards are enforced consistently across teams.",Medium,Phase 2
REC-DFD-D07-SM,FND-DFD-D07-SM,D07,Governance & Ownership,4-5,"Elevate governance maturity through control tracking, recurring review of unresolved issues, and structured continuous improvement.",Low,Phase 3
