screen,component_id,component_name,widget_type,primary_source,main_fields,purpose
Audit Interface,C01,Audit Header Bar,Fixed header,dfd_audit_sessions,client_name; module_name; audit_owner; review_date; status; overall_score; overall_pct; overall_severity_band,Show audit context and live module status
Audit Interface,C02,Summary Cards,KPI cards,dfd_audit_sessions + dfd_domain_summaries,overall_score; overall_pct; counts of weak/developing/strong domains; high_priority_actions,Quick snapshot before detailed review
Audit Interface,C03,Domain Navigation,Left navigation,dfd_domains + dfd_domain_summaries,domain_name; domain_avg_score; domain_pct; severity_band,Fast movement between domains with live status
Audit Interface,C04,Domain Header,Banner,dfd_domains + dfd_domain_summaries,domain_name; domain_description; domain_weight_pct; domain_avg_score; domain_pct; severity_band,Frame current domain and performance
Audit Interface,C05,Domain Diagnostic Line,Auto text,dfd_domain_summaries + dfd_findings_library,triggered finding summary,Provide domain-level interpretation
Audit Interface,C06,Question Scoring Table,Editable table,dfd_questions + dfd_results,question_id; question_text; score_value; evidence_summary; auditor_notes; confidence_level; major_issue_flag; severity_band,Primary audit input area
Audit Interface,C09,Findings Cards,Expandable cards,dfd_domain_summaries + findings/recommendations,finding_title; observation; impact; root_cause; recommendation; roadmap_phase,Show triggered diagnostic outputs
Audit Interface,C10,Domain Action Table,Table,dfd_actions_library via triggered recommendation,priority; action_summary; owner_type; effort_level; expected_outcome; roadmap_phase,Translate findings into implementable actions
Audit Interface,C12,Module Summary Panel,Bottom summary,dfd_audit_sessions + dfd_domain_summaries,overall_score; overall_pct; overall_severity_band; highest_risk_domain; lowest_risk_domain; total_actions,Summarise whole module on one screen
Audit Interface,C15,Readiness Summary Narrative,Auto narrative,module summary + top findings,auto paragraph,Create report-ready summary text
Executive Dashboard,E01,Executive Header,Fixed header,dfd_audit_sessions,client_name; report_date; overall_score; overall_pct; overall_severity_band,Set leadership context
Executive Dashboard,E02,Executive Scorecards,KPI cards,dfd_audit_sessions + dfd_domain_summaries + triggered actions,overall_score; overall_pct; maturity_level; weak_domain_count; high_priority_actions; phase_1_actions,Top-level leadership snapshot
Executive Dashboard,E03,Domain Performance View,Bar chart or table,dfd_domain_summaries,domain_name; domain_avg_score; domain_pct; severity_band,Show strongest and weakest domains
Executive Dashboard,E04,Risk Heatmap,Heatmap,dfd_domain_summaries + triggered findings,domain; score; reporting_risk; decision_risk; control_risk; priority,Visualise risk concentration
Executive Dashboard,E05,Top Risks Panel,Risk cards,triggered findings,risk_title; why_it_matters; affected_domain; severity; roadmap_phase,Translate audit results into executive risks
Executive Dashboard,E06,KPI Reliability Panel,Status cards/table,Domain D05 outputs,definitions_status; formula_status; target_logic_status; ownership_status,Show KPI trust level
Executive Dashboard,E07,Reporting Maturity Panel,Maturity card,Domain D06 outputs,current_level; main_limitation; main_reporting_risk; improvement_priority,Show reporting maturity in executive language
Executive Dashboard,E08,Priority Action Tracker,Filterable table,all triggered actions,roadmap_phase; priority; action_summary; owner_type; effort_level; expected_outcome,Track what leadership should sponsor
Executive Dashboard,E09,Roadmap Summary,3-column phase blocks,triggered actions grouped by roadmap_phase,phase counts; top deliverables; expected benefits,Sequence the improvement plan
Executive Dashboard,E10,Executive Narrative Summary,Narrative panel,module summary + top findings + top actions,current_state; main_risk; immediate_need; expected_outcome,Provide board-ready written summary
