question_id,domain_id,workflow_id,step_id,question_text,question_type,question_intent,score_1_guidance,score_3_guidance,score_5_guidance,primary_driver,secondary_driver,linked_metric,issue_type,recommendation_id,action_id,owner_role,automation_flag,ai_flag,roadmap_phase,priority_weight,audit_scoring_focus,evidence_examples,customer_impact_if_weak,severity_band_logic
Q-D01-01-01,D01,WF-D01-01,ST-D01-01-01,"Is strategy and growth planning designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that strategic priorities are translated into funded initiatives, owners, milestones, and review routines?",process,definition,"There is no single agreed operating design for strategy and growth planning. Key elements such as planning inputs, decision points, ownership, cadence, and approval rules are unclear, poorly documented, or owned informally, and evidence such as planning calendar, priority register, and meeting pack or planning deck is missing, outdated, or not used in practice.","A baseline design exists for strategy and growth planning, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Strategy and Growth Planning is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",Strategic Clarity,Resource Allocation Discipline,Revenue Plan Attainment Risk,unclear_workflow_definition,REC-D01-01-01,ACT-D01-01-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for strategy and growth planning.","planning calendar, priority register, and meeting pack or planning deck","If weak, strategy and growth planning becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-01-02,D01,WF-D01-01,ST-D01-01-02,"Does strategy and growth planning run consistently in practice, meeting expected turnaround, quality, and handoff standards so that planning cycles happen on time, use the right inputs, and translate into committed actions without avoidable delay, rework, or dependence on individual heroics?",quality,execution,"Strategy and Growth Planning is executed inconsistently and is regularly affected by late inputs, unclear priorities, weak follow-through, and decisions being revisited repeatedly. Work is often delayed, reworked, or completed through manual chasing, with limited confidence in turnaround, quality, or downstream readiness.","Strategy and Growth Planning usually happens, but performance is still uneven. The team can complete routine work, yet exceptions, delays, quality misses, or inconsistent adherence to standards still create friction often enough to affect business performance.","Strategy and Growth Planning runs predictably and at the expected quality level. Turnaround, handoffs, and exception handling are controlled, and teams rarely need to rely on ad hoc workarounds to complete the workflow successfully.",Strategic Clarity,Resource Allocation Discipline,Revenue Plan Attainment Risk,inconsistent_workflow_execution,REC-D01-01-02,ACT-D01-01-02,Executive Leadership,Yes,No,Phase 1,High,"Look for evidence of real operating discipline in strategy and growth planning, including turnaround, quality, rework, SLA adherence, and exception handling.","planning calendar, priority register, and meeting pack or planning deck","If weak, day-to-day performance in strategy and growth planning creates avoidable delay, rework, and customer or commercial friction.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-01-03,D01,WF-D01-01,ST-D01-01-03,"Is strategy and growth planning controlled through defined KPIs, timely exception visibility, and management review so issues are identified early and corrected before they materially affect revenue plan attainment risk?",control,visibility_control,"The business has weak visibility over strategy and growth planning. KPIs such as on-time planning cycle completion, initiative milestone attainment, and variance to plan are absent, unreliable, or reviewed too late, so issues are usually discovered after they have already affected performance, customers, or revenue.","Basic reporting exists for strategy and growth planning, but KPI definitions, data quality, review cadence, or action follow-through are not yet strong enough to provide full control. Some issues are surfaced in time, but others still remain hidden or unresolved for too long.","Strategy and Growth Planning is actively controlled through trusted KPIs such as on-time planning cycle completion, initiative milestone attainment, and variance to plan, regular review, clear thresholds, and owned corrective actions. Exceptions are visible early and leaders can intervene before the issue becomes material.",Strategic Clarity,Resource Allocation Discipline,Revenue Plan Attainment Risk,weak_workflow_visibility_and_control,REC-D01-01-03,ACT-D01-01-03,Executive Leadership,Yes,No,Phase 2,High,"Look for trusted KPI visibility over strategy and growth planning, including metric definitions, review cadence, escalation, and closure of corrective actions.","planning calendar, priority register, and meeting pack or planning deck","If weak, leaders cannot see performance issues in strategy and growth planning early enough to protect revenue plan attainment risk.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-02-01,D01,WF-D01-02,ST-D01-02-01,"Is customer and segment definition designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that the business targets the right customers and segments with clear qualification and value propositions?",process,definition,"There is no single agreed operating design for customer and segment definition. Key elements such as segment criteria, customer definitions, qualification logic, and ownership of updates are unclear, poorly documented, or owned informally, and evidence such as ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP is missing, outdated, or not used in practice.","A baseline design exists for customer and segment definition, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Customer and Segment Definition is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",ICP Clarity,Segment Prioritisation Discipline,Target Segment Conversion Leakage,unclear_workflow_definition,REC-D01-02-01,ACT-D01-02-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for customer and segment definition.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","If weak, customer and segment definition becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-02-02,D01,WF-D01-02,ST-D01-02-02,"Does customer and segment definition run consistently in practice, meeting expected turnaround, quality, and handoff standards so that teams consistently use the same customer and segment definitions in targeting, qualification, and reporting without avoidable delay, rework, or dependence on individual heroics?",quality,execution,"Customer and Segment Definition is executed inconsistently and is regularly affected by targeting drift, poor-fit leads, inconsistent qualification, and reporting that cannot be segmented cleanly. Work is often delayed, reworked, or completed through manual chasing, with limited confidence in turnaround, quality, or downstream readiness.","Customer and Segment Definition usually happens, but performance is still uneven. The team can complete routine work, yet exceptions, delays, quality misses, or inconsistent adherence to standards still create friction often enough to affect business performance.","Customer and Segment Definition runs predictably and at the expected quality level. Turnaround, handoffs, and exception handling are controlled, and teams rarely need to rely on ad hoc workarounds to complete the workflow successfully.",ICP Clarity,Segment Prioritisation Discipline,Target Segment Conversion Leakage,inconsistent_workflow_execution,REC-D01-02-02,ACT-D01-02-02,Executive Leadership,Yes,No,Phase 1,High,"Look for evidence of real operating discipline in customer and segment definition, including turnaround, quality, rework, SLA adherence, and exception handling.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","If weak, day-to-day performance in customer and segment definition creates avoidable delay, rework, and customer or commercial friction.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-02-03,D01,WF-D01-02,ST-D01-02-03,"Is customer and segment definition controlled through defined KPIs, timely exception visibility, and management review so issues are identified early and corrected before they materially affect target segment conversion leakage?",control,visibility_control,"The business has weak visibility over customer and segment definition. KPIs such as qualified lead rate by segment, win rate by segment, and revenue mix by segment are absent, unreliable, or reviewed too late, so issues are usually discovered after they have already affected performance, customers, or revenue.","Basic reporting exists for customer and segment definition, but KPI definitions, data quality, review cadence, or action follow-through are not yet strong enough to provide full control. Some issues are surfaced in time, but others still remain hidden or unresolved for too long.","Customer and Segment Definition is actively controlled through trusted KPIs such as qualified lead rate by segment, win rate by segment, and revenue mix by segment, regular review, clear thresholds, and owned corrective actions. Exceptions are visible early and leaders can intervene before the issue becomes material.",ICP Clarity,Segment Prioritisation Discipline,Target Segment Conversion Leakage,weak_workflow_visibility_and_control,REC-D01-02-03,ACT-D01-02-03,Executive Leadership,Yes,No,Phase 2,High,"Look for trusted KPI visibility over customer and segment definition, including metric definitions, review cadence, escalation, and closure of corrective actions.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","If weak, leaders cannot see performance issues in customer and segment definition early enough to protect target segment conversion leakage.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-03-01,D01,WF-D01-03,ST-D01-03-01,"Is offer and service design designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that offers are commercially viable, operationally deliverable, and clearly scoped before they are sold?",process,definition,"There is no single agreed operating design for offer and service design. Key elements such as scope, design principles, pricing/commercial assumptions, handoff points, and quality requirements are unclear, poorly documented, or owned informally, and evidence such as offer catalogue, service blueprint, and commercial rules is missing, outdated, or not used in practice.","A baseline design exists for offer and service design, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Offer and Service Design is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",Offer Fit and Clarity,Delivery Viability,Offer Margin and Win-Rate Leakage,unclear_workflow_definition,REC-D01-03-01,ACT-D01-03-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for offer and service design.","offer catalogue, service blueprint, and commercial rules","If weak, offer and service design becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-03-02,D01,WF-D01-03,ST-D01-03-02,"Does offer and service design run consistently in practice, meeting expected turnaround, quality, and handoff standards so that the designed offer or process is used consistently and can be delivered as sold without avoidable delay, rework, or dependence on individual heroics?",quality,execution,"Offer and Service Design is executed inconsistently and is regularly affected by custom work bypasses standards, scope is ambiguous, and teams sell or deliver inconsistent versions. Work is often delayed, reworked, or completed through manual chasing, with limited confidence in turnaround, quality, or downstream readiness.","Offer and Service Design usually happens, but performance is still uneven. The team can complete routine work, yet exceptions, delays, quality misses, or inconsistent adherence to standards still create friction often enough to affect business performance.","Offer and Service Design runs predictably and at the expected quality level. Turnaround, handoffs, and exception handling are controlled, and teams rarely need to rely on ad hoc workarounds to complete the workflow successfully.",Offer Fit and Clarity,Delivery Viability,Offer Margin and Win-Rate Leakage,inconsistent_workflow_execution,REC-D01-03-02,ACT-D01-03-02,Executive Leadership,Yes,No,Phase 1,High,"Look for evidence of real operating discipline in offer and service design, including turnaround, quality, rework, SLA adherence, and exception handling.","offer catalogue, service blueprint, and commercial rules","If weak, day-to-day performance in offer and service design creates avoidable delay, rework, and customer or commercial friction.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-03-03,D01,WF-D01-03,ST-D01-03-03,"Is offer and service design controlled through defined KPIs, timely exception visibility, and management review so issues are identified early and corrected before they materially affect offer margin and win-rate leakage?",control,visibility_control,"The business has weak visibility over offer and service design. KPIs such as gross margin by offer, delivery variance, and exception rate to standard are absent, unreliable, or reviewed too late, so issues are usually discovered after they have already affected performance, customers, or revenue.","Basic reporting exists for offer and service design, but KPI definitions, data quality, review cadence, or action follow-through are not yet strong enough to provide full control. Some issues are surfaced in time, but others still remain hidden or unresolved for too long.","Offer and Service Design is actively controlled through trusted KPIs such as gross margin by offer, delivery variance, and exception rate to standard, regular review, clear thresholds, and owned corrective actions. Exceptions are visible early and leaders can intervene before the issue becomes material.",Offer Fit and Clarity,Delivery Viability,Offer Margin and Win-Rate Leakage,weak_workflow_visibility_and_control,REC-D01-03-03,ACT-D01-03-03,Executive Leadership,Yes,No,Phase 2,High,"Look for trusted KPI visibility over offer and service design, including metric definitions, review cadence, escalation, and closure of corrective actions.","offer catalogue, service blueprint, and commercial rules","If weak, leaders cannot see performance issues in offer and service design early enough to protect offer margin and win-rate leakage.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
Q-D01-04-01,D01,WF-D01-04,ST-D01-04-01,"Is pricing model design designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that pricing reflects value, protects margin, and can be applied consistently across teams and systems?",process,definition,"There is no single agreed operating design for pricing model design. Key elements such as pricing architecture, discount rules, approval rights, and approved exceptions are unclear, poorly documented, or owned informally, and evidence such as price book, discount matrix, and approval matrix is missing, outdated, or not used in practice.","A baseline design exists for pricing model design, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Pricing Model Design is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",Pricing Architecture,Margin Protection,Pricing / Discount Leakage,unclear_workflow_definition,REC-D01-04-01,ACT-D01-04-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for pricing model design.","price book, discount matrix, and approval matrix","If weak, pricing model design becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed
