step_id,workflow_id,step_name,step_description,display_order
ST-D01-01-01,WF-D01-01,Process Design and Ownership,"Tests whether strategy and growth planning has a documented end-to-end design covering planning inputs, decision points, ownership, cadence, and approval rules, with clear ownership, decision rights, and handoff rules.",1
ST-D01-01-02,WF-D01-01,Execution Discipline and Service Quality,"Tests whether strategy and growth planning operates consistently in practice and whether planning cycles happen on time, use the right inputs, and translate into committed actions without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-01-03,WF-D01-01,"Visibility, KPI Control, and Escalation","Tests whether strategy and growth planning is controlled through clear metrics such as on-time planning cycle completion, initiative milestone attainment, and variance to plan, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D01-02-01,WF-D01-02,Process Design and Ownership,"Tests whether customer and segment definition has a documented end-to-end design covering segment criteria, customer definitions, qualification logic, and ownership of updates, with clear ownership, decision rights, and handoff rules.",1
ST-D01-02-02,WF-D01-02,Execution Discipline and Service Quality,"Tests whether customer and segment definition operates consistently in practice and whether teams consistently use the same customer and segment definitions in targeting, qualification, and reporting without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-02-03,WF-D01-02,"Visibility, KPI Control, and Escalation","Tests whether customer and segment definition is controlled through clear metrics such as qualified lead rate by segment, win rate by segment, and revenue mix by segment, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D01-03-01,WF-D01-03,Process Design and Ownership,"Tests whether offer and service design has a documented end-to-end design covering scope, design principles, pricing/commercial assumptions, handoff points, and quality requirements, with clear ownership, decision rights, and handoff rules.",1
ST-D01-03-02,WF-D01-03,Execution Discipline and Service Quality,"Tests whether offer and service design operates consistently in practice and whether the designed offer or process is used consistently and can be delivered as sold without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-03-03,WF-D01-03,"Visibility, KPI Control, and Escalation","Tests whether offer and service design is controlled through clear metrics such as gross margin by offer, delivery variance, and exception rate to standard, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D01-04-01,WF-D01-04,Process Design and Ownership,"Tests whether pricing model design has a documented end-to-end design covering pricing architecture, discount rules, approval rights, and approved exceptions, with clear ownership, decision rights, and handoff rules.",1
ST-D01-04-02,WF-D01-04,Execution Discipline and Service Quality,"Tests whether pricing model design operates consistently in practice and whether pricing is applied consistently in live deals and billing without avoidable manual overrides without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-04-03,WF-D01-04,"Visibility, KPI Control, and Escalation","Tests whether pricing model design is controlled through clear metrics such as average discount to list, gross margin, and price realization, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D01-05-01,WF-D01-05,Process Design and Ownership,"Tests whether accountability and ownership has a documented end-to-end design covering roles, decision rights, escalation paths, and accountability for outcomes, with clear ownership, decision rights, and handoff rules.",1
ST-D01-05-02,WF-D01-05,Execution Discipline and Service Quality,"Tests whether accountability and ownership operates consistently in practice and whether work is owned end-to-end and issues are escalated without confusion or duplication without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-05-03,WF-D01-05,"Visibility, KPI Control, and Escalation","Tests whether accountability and ownership is controlled through clear metrics such as open issue aging, decision turnaround, and cross-functional handoff delays, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D01-06-01,WF-D01-06,Process Design and Ownership,"Tests whether management cadence has a documented end-to-end design covering meeting purpose, inputs, outputs, participants, and escalation rules, with clear ownership, decision rights, and handoff rules.",1
ST-D01-06-02,WF-D01-06,Execution Discipline and Service Quality,"Tests whether management cadence operates consistently in practice and whether management reviews happen consistently, decisions are recorded, and actions are followed through without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-06-03,WF-D01-06,"Visibility, KPI Control, and Escalation","Tests whether management cadence is controlled through clear metrics such as meeting adherence, action closure rate, and decision turnaround time, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D01-07-01,WF-D01-07,Process Design and Ownership,"Tests whether data and reporting setup has a documented end-to-end design covering KPI definitions, data ownership, source systems, and reporting cadence, with clear ownership, decision rights, and handoff rules.",1
ST-D01-07-02,WF-D01-07,Execution Discipline and Service Quality,"Tests whether data and reporting setup operates consistently in practice and whether data is entered on time, reconciled, and reports are produced without heavy manual repair without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-07-03,WF-D01-07,"Visibility, KPI Control, and Escalation","Tests whether data and reporting setup is controlled through clear metrics such as report timeliness, data completeness, and reconciliation exceptions, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D01-08-01,WF-D01-08,Process Design and Ownership,"Tests whether systems landscape has a documented end-to-end design covering system roles, integration boundaries, master data ownership, and control points, with clear ownership, decision rights, and handoff rules.",1
ST-D01-08-02,WF-D01-08,Execution Discipline and Service Quality,"Tests whether systems landscape operates consistently in practice and whether users work in the right systems with minimal duplicate entry and clean handoffs without avoidable delay, rework, or dependency on individual heroics.",2
ST-D01-08-03,WF-D01-08,"Visibility, KPI Control, and Escalation","Tests whether systems landscape is controlled through clear metrics such as integration failure rate, system adoption, and manual workaround volume, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D02-01-01,WF-D02-01,Process Design and Ownership,"Tests whether marketing planning has a documented end-to-end design covering planning inputs, decision points, ownership, cadence, and approval rules, with clear ownership, decision rights, and handoff rules.",1
ST-D02-01-02,WF-D02-01,Execution Discipline and Service Quality,"Tests whether marketing planning operates consistently in practice and whether planning cycles happen on time, use the right inputs, and translate into committed actions without avoidable delay, rework, or dependency on individual heroics.",2
ST-D02-01-03,WF-D02-01,"Visibility, KPI Control, and Escalation","Tests whether marketing planning is controlled through clear metrics such as on-time planning cycle completion, initiative milestone attainment, and variance to plan, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D02-02-01,WF-D02-02,Process Design and Ownership,"Tests whether campaign execution has a documented end-to-end design covering campaign standards, channel roles, creative/sign-off rules, and data capture requirements, with clear ownership, decision rights, and handoff rules.",1
ST-D02-02-02,WF-D02-02,Execution Discipline and Service Quality,"Tests whether campaign execution operates consistently in practice and whether campaign activity launches on time, runs to standard, and handoffs into sales are complete without avoidable delay, rework, or dependency on individual heroics.",2
ST-D02-02-03,WF-D02-02,"Visibility, KPI Control, and Escalation","Tests whether campaign execution is controlled through clear metrics such as MQL volume, cost per qualified lead, and channel conversion, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D02-03-01,WF-D02-03,Process Design and Ownership,"Tests whether inbound capture has a documented end-to-end design covering capture fields, validation rules, channel ownership, and routing triggers, with clear ownership, decision rights, and handoff rules.",1
ST-D02-03-02,WF-D02-03,Execution Discipline and Service Quality,"Tests whether inbound capture operates consistently in practice and whether all inbound responses are captured quickly, enriched where needed, and routed without loss without avoidable delay, rework, or dependency on individual heroics.",2
ST-D02-03-03,WF-D02-03,"Visibility, KPI Control, and Escalation","Tests whether inbound capture is controlled through clear metrics such as speed to lead, capture completeness, and lead abandonment, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D02-04-01,WF-D02-04,Process Design and Ownership,"Tests whether outbound prospecting has a documented end-to-end design covering targeting rules, outreach cadence, messaging standards, and activity ownership, with clear ownership, decision rights, and handoff rules.",1
ST-D02-04-02,WF-D02-04,Execution Discipline and Service Quality,"Tests whether outbound prospecting operates consistently in practice and whether outbound activity happens consistently against the right accounts and sequences without avoidable delay, rework, or dependency on individual heroics.",2
ST-D02-04-03,WF-D02-04,"Visibility, KPI Control, and Escalation","Tests whether outbound prospecting is controlled through clear metrics such as connect rate, meeting booked rate, and outbound-sourced pipeline, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D02-05-01,WF-D02-05,Process Design and Ownership,"Tests whether lead qualification has a documented end-to-end design covering entry criteria, qualification questions, rejection rules, and handoff ownership, with clear ownership, decision rights, and handoff rules.",1
ST-D02-05-02,WF-D02-05,Execution Discipline and Service Quality,"Tests whether lead qualification operates consistently in practice and whether teams assess fit and readiness consistently before progressing work downstream without avoidable delay, rework, or dependency on individual heroics.",2
ST-D02-05-03,WF-D02-05,"Visibility, KPI Control, and Escalation","Tests whether lead qualification is controlled through clear metrics such as qualification-to-win rate, recycle rate, and accepted lead rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D02-06-01,WF-D02-06,Process Design and Ownership,"Tests whether lead routing and handoff has a documented end-to-end design covering handoff criteria, required fields, acceptance rules, and accountability at each side of the handoff, with clear ownership, decision rights, and handoff rules.",1
ST-D02-06-02,WF-D02-06,Execution Discipline and Service Quality,"Tests whether lead routing and handoff operates consistently in practice and whether handoffs happen with full information, clear timing, and mutual acknowledgement without avoidable delay, rework, or dependency on individual heroics.",2
ST-D02-06-03,WF-D02-06,"Visibility, KPI Control, and Escalation","Tests whether lead routing and handoff is controlled through clear metrics such as handoff SLA attainment, handoff rejection rate, and rework volume, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-01-01,WF-D03-01,Process Design and Ownership,"Tests whether discovery and qualification has a documented end-to-end design covering entry criteria, qualification questions, rejection rules, and handoff ownership, with clear ownership, decision rights, and handoff rules.",1
ST-D03-01-02,WF-D03-01,Execution Discipline and Service Quality,"Tests whether discovery and qualification operates consistently in practice and whether teams assess fit and readiness consistently before progressing work downstream without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-01-03,WF-D03-01,"Visibility, KPI Control, and Escalation","Tests whether discovery and qualification is controlled through clear metrics such as qualification-to-win rate, recycle rate, and accepted lead rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-02-01,WF-D03-02,Process Design and Ownership,"Tests whether opportunity management has a documented end-to-end design covering sales stage criteria, required evidence, approval rules, and next-step standards, with clear ownership, decision rights, and handoff rules.",1
ST-D03-02-02,WF-D03-02,Execution Discipline and Service Quality,"Tests whether opportunity management operates consistently in practice and whether opportunities progress based on evidence and disciplined follow-up rather than optimism without avoidable delay, rework, or dependency on individual heroics.",2
ST-D03-02-03,WF-D03-02,"Visibility, KPI Control, and Escalation","Tests whether opportunity management is controlled through clear metrics such as stage conversion, sales cycle length, and forecast accuracy, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D03-03-01,WF-D03-03,Process Design and Ownership,"Tests whether proposal and quoting has a documented end-to-end design covering proposal/quote templates, approval rules, pricing rules, and scope-control requirements, with clear ownership, decision rights, and handoff rules.",1
