Appendix — 32_lib_findings,,,,,,,
Copied from the latest tailored AI Readiness content pack.,,,,,,,
,,,,,,,
finding_id,domain_id,severity_band,finding_title,finding_summary,business_impact,,
AIR-F001,AIR-D01,Critical / Weak,AI intent is trend-led rather than business-led,"Leadership interest in AI is present, but the business has not yet translated that interest into a defined commercial thesis, an owned problem statement, or a ranked set of use cases.","Investment decisions are likely to be reactive, and resources may be spent on tools before priority business problems are agreed.",,
AIR-F002,AIR-D01,Developing,AI direction exists but portfolio discipline is still weak,"The business has started to define where AI may help, but ownership, ranking logic, and sequencing are not yet strong enough to govern investment confidently.",Promising ideas may compete for attention without a clear basis for selecting the best pilots first.,,
AIR-F003,AIR-D01,Strong / Managed,AI strategy is commercially grounded and governable,"The business has articulated why AI matters, which use cases come first, who owns decisions, and how priorities link back to business outcomes.","The organisation is in a stronger position to approve pilots based on value, readiness, and execution discipline rather than hype.",,
AIR-F004,AIR-D02,Critical / Weak,Candidate workflows are not yet ready for credible AI selection,"The business has not yet narrowed AI down to clearly bounded workflows with defined pain points, stable patterns, and operational review design.","AI may be pointed at the wrong work, or introduced into processes that still need process mapping and stabilisation first.",,
AIR-F005,AIR-D02,Developing,Use case candidates are visible but workflow design still needs tightening,"Several workflows appear promising for AI, but workflow boundaries, root pain points, or human-in-the-loop controls are not yet complete enough for confident pilot design.",Pilot quality and adoption may suffer because the workflow operating model is not fully locked down.,,
AIR-F006,AIR-D02,Strong / Managed,High-fit workflows have been identified with practical pilot potential,"The business has isolated workflows with clear pain, repeatable patterns, meaningful volume, and tasks that genuinely suit AI support such as drafting, classification, retrieval, or summarisation.","Pilot selection can focus on workflows where AI has a stronger chance of improving speed, quality, or consistency.",,
AIR-F007,AIR-D03,Critical / Weak,Priority use cases are constrained by weak data foundations,"The required data for the shortlisted AI use cases is fragmented, inconsistently defined, poor in quality, weakly owned, or difficult to retrieve in a controlled way.","AI outputs will be unreliable, difficult to trust, or expensive to operationalise until the data foundation is improved.",,
AIR-F008,AIR-D03,Developing,"Data is usable in parts, but not yet consistently deployment-ready","The business has enough data to explore selected use cases, but important gaps remain in ownership, structure, access, history, or knowledge organisation.","AI pilots may work in controlled scope, but scaling will be limited unless the supporting data foundation is tightened.",,
AIR-F009,AIR-D03,Strong / Managed,Data foundations are sufficiently strong for priority AI use cases,"The main structured and unstructured inputs needed for the chosen use cases exist, are accessible, and are governed well enough to support controlled deployment.","The business can move toward pilot design with greater confidence in output quality, retrieval quality, and operational trust.",,
AIR-F010,AIR-D04,Critical / Weak,System fragmentation will restrict operational AI value,"The application landscape is not yet cleanly documented or connected enough to move AI outputs into the live workflow without manual workarounds, fragile handoffs, or support risk.",Even well-chosen use cases may fail to create business value because outputs remain disconnected from the systems where teams actually work.,,
