action_id,recommendation_id,action_title,action_text,action_owner,effort_level,dependency,phase,action_deliverable,success_measure,indicative_timeline,workstream_type
ACT-D01-01-01,REC-D01-01-01,Define the operating standard for Strategy and Growth Planning,"Map the current state of strategy and growth planning, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as planning calendar, priority register, and meeting pack or planning deck. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,"a documented planning rhythm with RACI, inputs, outputs, and decision checkpoints",The team can point to a current standard for strategy and growth planning and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D01-01-02,REC-D01-01-02,Remove execution friction in Strategy and Growth Planning,"Diagnose where strategy and growth planning breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-01 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for strategy and growth planning covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in strategy and growth planning over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-01-03,REC-D01-01-03,Build KPI and exception control for Strategy and Growth Planning,"Define the small set of KPIs, service thresholds, and exception categories required to manage strategy and growth planning well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-01 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for strategy and growth planning covering on-time planning cycle completion, initiative milestone attainment, and variance to plan, thresholds, owners, and escalation rules.",Management can review trusted KPIs for strategy and growth planning regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D01-02-01,REC-D01-02-01,Define the operating standard for Customer and Segment Definition,"Map the current state of customer and segment definition, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,an approved segmentation framework embedded in commercial processes and systems,The team can point to a current standard for customer and segment definition and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D01-02-02,REC-D01-02-02,Remove execution friction in Customer and Segment Definition,"Diagnose where customer and segment definition breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-02 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for customer and segment definition covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in customer and segment definition over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-02-03,REC-D01-02-03,Build KPI and exception control for Customer and Segment Definition,"Define the small set of KPIs, service thresholds, and exception categories required to manage customer and segment definition well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-02 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for customer and segment definition covering qualified lead rate by segment, win rate by segment, and revenue mix by segment, thresholds, owners, and escalation rules.",Management can review trusted KPIs for customer and segment definition regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D01-03-01,REC-D01-03-01,Define the operating standard for Offer and Service Design,"Map the current state of offer and service design, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as offer catalogue, service blueprint, and commercial rules. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,"a controlled design standard with approved options, boundaries, and governance",The team can point to a current standard for offer and service design and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D01-03-02,REC-D01-03-02,Remove execution friction in Offer and Service Design,"Diagnose where offer and service design breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Executive Leadership,High,"WF-D01-03 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for offer and service design covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in offer and service design over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D01-03-03,REC-D01-03-03,Build KPI and exception control for Offer and Service Design,"Define the small set of KPIs, service thresholds, and exception categories required to manage offer and service design well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Executive Leadership,Medium,"WF-D01-03 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for offer and service design covering gross margin by offer, delivery variance, and exception rate to standard, thresholds, owners, and escalation rules.",Management can review trusted KPIs for offer and service design regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D01-04-01,REC-D01-04-01,Define the operating standard for Pricing Model Design,"Map the current state of pricing model design, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as price book, discount matrix, and approval matrix. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Executive Leadership,Medium,,Phase 2,a governed pricing model with exception paths and approval thresholds,The team can point to a current standard for pricing model design and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
