metric_id,domain_id,workflow_id,workflow_name,metric_name,metric_role,metric_category,definition,formula,unit,frequency,owner_role,priority,applicability,source_hint,target_guidance,rag_red,rag_amber,rag_green,why_it_matters,evidence_strength,target_basis,progress_use,baseline_value,baseline_date,target_value,current_value,variance_to_target,trend_direction,rag_status
KM-D01-01,D01,WF-D01-01,Strategy and Growth Planning,On-time planning cycle completion,Primary,Control,Percentage of planning cycles completed by the agreed deadline.,Planning cycles completed on time / total planning cycles,%,Monthly/Quarterly,Executive Leadership,Core,Universal,Planning calendar / PMO tracker,95%+ on-time,<85%,85%-94.9%,>=95%,Primary progress metric for strategy and growth planning. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-02,D01,WF-D01-02,Customer and Segment Definition,Qualified lead rate by segment,Primary,Demand,Percentage of leads in each target segment that meet qualification criteria.,Qualified leads in segment / total leads in segment,%,Monthly,Executive Leadership,Core,Universal,CRM / marketing automation,By segment benchmark,Below target,Near target,At or above target,Primary progress metric for customer and segment definition. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-03,D01,WF-D01-03,Offer and Service Design,Gross margin by offer,Primary,Performance,Gross margin generated by each offer or service line.,(Offer revenue - direct delivery cost) / offer revenue,%,Monthly,Executive Leadership,Core,Universal,Finance / PSA / ERP,At or above target margin,Below target by >5 pts,Within 5 pts of target,At or above target,Primary progress metric for offer and service design. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-04,D01,WF-D01-04,Pricing Model Design,Average discount to list,Primary,Leakage,Average discount granted against list price or standard commercial terms.,Total discounts / total gross quoted value,%,Monthly,Executive Leadership,Core,Universal,CRM / CPQ / quoting tool,Within approved pricing guardrails,Above pricing threshold,Near threshold,Within guardrails,Primary progress metric for pricing model design. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-05,D01,WF-D01-05,Accountability and Ownership,Open issue aging,Primary,Control,Average age of unresolved operational issues or decisions.,Average(today - issue open date),Days,Weekly,Executive Leadership,Core,Universal,Issue log / project tracker,Trend down within SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for accountability and ownership. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-06,D01,WF-D01-06,Management Cadence,Meeting adherence,Primary,Control,Percentage of scheduled review or governance meetings held as planned.,Meetings held / meetings scheduled,%,Weekly/Monthly,Executive Leadership,Core,Universal,Calendar / meeting tracker,95%+ adherence,<85%,85%-94.9%,>=95%,Primary progress metric for management cadence. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-07,D01,WF-D01-07,Data and Reporting Setup,Report timeliness,Primary,Control,Percentage of scheduled reports delivered on time.,Reports delivered on time / reports scheduled,%,Weekly/Monthly,Executive Leadership,Core,Universal,BI tool / reporting pack,95%+ on-time,<90%,90%-94.9%,>=95%,Primary progress metric for data and reporting setup. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-08,D01,WF-D01-08,Systems Landscape,Integration failure rate,Primary,System,Percentage of system integrations or sync jobs that fail.,Failed syncs / total syncs,%,Daily/Weekly,Executive Leadership,Core,Universal,Integration logs / middleware,As low as possible,>3%,1%-3%,<1%,Primary progress metric for systems landscape. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-01,D02,WF-D02-01,Marketing Planning,On-time planning cycle completion,Primary,Control,Percentage of planning cycles completed by the agreed deadline.,Planning cycles completed on time / total planning cycles,%,Monthly/Quarterly,Marketing Leadership,Core,Universal,Planning calendar / PMO tracker,95%+ on-time,<85%,85%-94.9%,>=95%,Primary progress metric for marketing planning. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-02,D02,WF-D02-02,Campaign Execution,MQL volume,Primary,Demand,Total marketing qualified leads created in the period.,Count of MQLs,Count,Weekly,Marketing Leadership,Core,Universal,CRM / marketing automation,Target based on channel plan and pipeline requirement,<80% of plan,80%-99% of plan,>=100% of plan,Primary progress metric for campaign execution. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-03,D02,WF-D02-03,Inbound Capture,Speed to lead,Primary,Demand,Average time taken to respond to a new inbound lead.,Average(first response timestamp - lead creation timestamp),Minutes/Hours,Daily/Weekly,Marketing Leadership,Core,Universal,CRM / call system,Within defined SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for inbound capture. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-04,D02,WF-D02-04,Outbound Prospecting,Connect rate,Primary,Demand,Percentage of outbound attempts that result in a live conversation or reply.,Successful connects / outbound attempts,%,Weekly,Marketing Leadership,Core,Universal,Sales engagement platform,By channel benchmark,Below benchmark by >20%,Within 20% of benchmark,At or above benchmark,Primary progress metric for outbound prospecting. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-05,D02,WF-D02-05,Lead Qualification,Qualification-to-win rate,Primary,Sales,Percentage of qualified opportunities that ultimately close won.,Closed won deals / qualified opportunities,%,Monthly,Marketing Leadership,Core,Universal,CRM,By segment benchmark,Below target,Near target,At or above target,Primary progress metric for lead qualification. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-06,D02,WF-D02-06,Lead Routing and Handoff,Handoff SLA attainment,Primary,Control,Percentage of handoffs completed within the agreed SLA and quality standard.,Compliant handoffs / total handoffs,%,Weekly,Marketing Leadership,Core,Universal,CRM / PSA / workflow tracker,95%+ handoff compliance,<90%,90%-94.9%,>=95%,Primary progress metric for lead routing and handoff. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-01,D03,WF-D03-01,Discovery and Qualification,Qualification-to-win rate,Primary,Sales,Percentage of qualified opportunities that ultimately close won.,Closed won deals / qualified opportunities,%,Monthly,Sales Leadership,Core,Universal,CRM,By segment benchmark,Below target,Near target,At or above target,Primary progress metric for discovery and qualification. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-02,D03,WF-D03-02,Opportunity Management,Stage conversion,Primary,Sales,Percentage of opportunities moving successfully from one sales stage to the next.,Opportunities entering next stage / opportunities in prior stage,%,Weekly,Sales Leadership,Core,Universal,CRM,By stage benchmark,Below target,Near target,At or above target,Primary progress metric for opportunity management. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-03,D03,WF-D03-03,Proposal and Quoting,Quote turnaround time,Primary,Sales,Average time to issue a proposal or quote after request or qualification.,Average(quote sent date - quote request/qualification date),Hours/Days,Weekly,Sales Leadership,Core,Universal,CRM / CPQ / quoting tool,Within agreed SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for proposal and quoting. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-04,D03,WF-D03-04,Pricing and Discount Approval,Approval turnaround,Primary,Control,"Average time taken to approve pricing, deals, or governance requests.",Average(approval date - request date),Hours/Days,Weekly,Sales Leadership,Core,Universal,CRM / approvals log / workflow tool,Within agreed SLA,Above SLA by >20%,Within 20% of SLA,Meets or beats SLA,Primary progress metric for pricing and discount approval. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-05,D03,WF-D03-05,Stakeholder Access,Multi-threaded deal rate,Primary,Sales,Percentage of active deals with access to multiple stakeholder groups or decision makers.,Multi-threaded deals / active qualified deals,%,Weekly,Sales Leadership,Core,Universal,CRM,Higher is better for complex deals,Below target,Near target,At or above target,Primary progress metric for stakeholder access. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-06,D03,WF-D03-06,Follow-Up Management,Stage conversion,Primary,Sales,Percentage of opportunities moving successfully from one sales stage to the next.,Opportunities entering next stage / opportunities in prior stage,%,Weekly,Sales Leadership,Core,Universal,CRM,By stage benchmark,Below target,Near target,At or above target,Primary progress metric for follow-up management. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-07,D03,WF-D03-07,Deal Review Cadence,Meeting adherence,Primary,Control,Percentage of scheduled review or governance meetings held as planned.,Meetings held / meetings scheduled,%,Weekly/Monthly,Sales Leadership,Core,Universal,Calendar / meeting tracker,95%+ adherence,<85%,85%-94.9%,>=95%,Primary progress metric for deal review cadence. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-08,D03,WF-D03-08,Closing Process,Close-plan completion,Primary,Control,Percentage of priority deals with a documented and active close plan.,Deals with close plan / late-stage deals,%,Weekly,Sales Leadership,Core,Universal,CRM,90%+ for late-stage deals,<75%,75%-89.9%,>=90%,Primary progress metric for closing process. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D04-01,D04,WF-D04-01,Sales-to-Delivery Handoff,Handoff SLA attainment,Primary,Control,Percentage of handoffs completed within the agreed SLA and quality standard.,Compliant handoffs / total handoffs,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,CRM / PSA / workflow tracker,95%+ handoff compliance,<90%,90%-94.9%,>=95%,Primary progress metric for sales-to-delivery handoff. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-02,D04,WF-D04-02,Onboarding / Implementation,Time to go-live,Primary,Delivery,Average time from contract or kickoff to go-live / onboarding completion.,Average(go-live date - contract/kickoff date),Days,Monthly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / onboarding tracker,Trend down within standard,Above standard by >20%,Within 20% of standard,At or below standard,Primary progress metric for onboarding / implementation. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-03,D04,WF-D04-03,Project Delivery,On-time delivery,Primary,Performance,Percentage of deliveries or projects completed on or before the committed date.,On-time completed jobs / total completed jobs,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / project tracker / ERP,95%+ on-time,<90%,90%-94.9%,>=95%,Primary progress metric for project delivery. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-04,D04,WF-D04-04,Service Operations,First response time,Primary,Service,Average time to first response on a service request or incident.,Average(first response timestamp - ticket open timestamp),Minutes/Hours,Daily/Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,Service desk / ticketing,Within SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for service operations. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-05,D04,WF-D04-05,Resource Planning,Utilization,Primary,Performance,Percentage of available capacity spent on productive work.,Productive hours / available hours,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / timesheets / resource planning,By role or delivery model,Below target,Near target,At or above target,Primary progress metric for resource planning. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-06,D04,WF-D04-06,SLA Management,SLA attainment,Primary,Control,Percentage of service commitments delivered within SLA.,SLA-compliant service events / total SLA events,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / ticketing / service desk,95%+ typical,<90%,90%-94.9%,>=95%,Primary progress metric for sla management. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
