Action ID,Recommendation ID,Domain ID,Domain Name,Action Summary,Owner Type,Effort Level,Expected Outcome
ACT-DFD-D01-CW-01,REC-DFD-D01-CW,D01,Source of Truth & System Architecture,"Inventory every system, spreadsheet, and report currently used to produce pipeline, customer, billing, and management numbers.",RevOps / Analyst,Medium,Full view of the real reporting landscape
ACT-DFD-D01-CW-02,REC-DFD-D01-CW,D01,Source of Truth & System Architecture,"Define and approve the primary source of truth for each critical object and KPI, including who owns it and who may change it.",Leadership / RevOps,Medium,Clear ownership of reporting sources
ACT-DFD-D01-CW-03,REC-DFD-D01-CW,D01,Source of Truth & System Architecture,"Retire, lock down, or formally control shadow spreadsheets that overwrite or replace CRM, finance, or service data.",RevOps / Ops,Medium,Reduced reporting conflict and shadow logic
ACT-DFD-D01-D-01,REC-DFD-D01-D,D01,Source of Truth & System Architecture,"Map every critical KPI back to its source object, field set, refresh logic, and reconciliation rule.",Analyst / System Owner,Medium,Stronger KPI traceability
ACT-DFD-D01-D-02,REC-DFD-D01-D,D01,Source of Truth & System Architecture,"Align field definitions across CRM, finance, service, and reporting layers so records reconcile without manual remapping.",RevOps / Ops,Medium,Lower reconciliation effort and fewer mapping errors
ACT-DFD-D01-SM-01,REC-DFD-D01-SM,D01,Source of Truth & System Architecture,"Document architecture, data lineage, reconciliation logic, and KPI source ownership in a controlled reference file.",Analyst / RevOps,Low,Better maintainability of the data foundation
ACT-DFD-D01-SM-02,REC-DFD-D01-SM,D01,Source of Truth & System Architecture,"Review sync logic, reconciliation breaks, and integration ownership between core systems on a scheduled basis.",System Owner / RevOps,Medium,Stronger resilience across connected systems
ACT-DFD-D02-CW-01,REC-DFD-D02-CW,D02,Data Capture Discipline,"Make critical stage-based fields mandatory and define minimum completion standards for pipeline, billing, and customer records.",System Admin / RevOps,Medium,Higher completeness at the point of work
ACT-DFD-D02-CW-02,REC-DFD-D02-CW,D02,Data Capture Discipline,"Introduce clear stage-exit criteria and update SLAs for status, owner, amount, date, and next-step fields.",Sales Ops / Ops,Medium,More reliable event-to-system timing
ACT-DFD-D02-CW-03,REC-DFD-D02-CW,D02,Data Capture Discipline,"Run weekly hygiene checks for incomplete, overdue, stale, or ownerless records and escalate repeat offenders.",Team Managers,Low,Improved capture discipline and visibility
ACT-DFD-D02-D-01,REC-DFD-D02-D,D02,Data Capture Discipline,"Train teams on the exact capture rules that affect reporting accuracy, including common failure fields and handoff updates.",Team Lead / Enablement,Low,More consistent user behaviour
ACT-DFD-D02-D-02,REC-DFD-D02-D,D02,Data Capture Discipline,"Create a compliance view showing missing fields, late updates, stale stages, and completion rates by owner or team.",Analyst / RevOps,Medium,Ongoing monitoring of capture quality
ACT-DFD-D02-SM-01,REC-DFD-D02-SM,D02,Data Capture Discipline,"Add reminders, exception flags, or workflow prompts for overdue updates in high-volume record types.",System Admin,Medium,Sustained consistency at scale
ACT-DFD-D02-SM-02,REC-DFD-D02-SM,D02,Data Capture Discipline,Review capture-quality trends quarterly and tighten controls where teams or workflows show slippage.,Managers / RevOps,Low,Control tuning based on evidence
ACT-DFD-D03-CW-01,REC-DFD-D03-CW,D03,Data Quality & Integrity,"Run a focused cleanup of duplicates, stale records, missing values, broken links, and inconsistent categories across core objects.",Analyst / Data Steward,High,Restored baseline record reliability
ACT-DFD-D03-CW-02,REC-DFD-D03-CW,D03,Data Quality & Integrity,"Implement validation rules, duplicate-prevention controls, and taxonomy standards in the primary systems.",System Admin,Medium,Fewer repeat quality failures
ACT-DFD-D03-CW-03,REC-DFD-D03-CW,D03,Data Quality & Integrity,"Establish a recurring monthly data-quality review covering completeness, freshness, duplicate risk, and classification issues.",Data Steward / RevOps,Low,Routine control over data condition
ACT-DFD-D03-D-01,REC-DFD-D03-D,D03,Data Quality & Integrity,"Set measurable quality thresholds for completeness, freshness, duplication, and category consistency by record type.",RevOps / Leadership,Medium,Clear quality standards for stewardship
ACT-DFD-D03-D-02,REC-DFD-D03-D,D03,Data Quality & Integrity,Assign a steward for each major record type to monitor quality trends and resolve repeat error patterns.,Leadership / Ops,Low,Accountability for ongoing data quality
ACT-DFD-D03-SM-01,REC-DFD-D03-SM,D03,Data Quality & Integrity,"Add exception reporting for abnormal values, broken record links, unusual stage movement, and category drift.",Analyst / BI,Medium,Earlier detection of quality anomalies
ACT-DFD-D03-SM-02,REC-DFD-D03-SM,D03,Data Quality & Integrity,"Introduce anomaly and enrichment checks for critical master-data fields such as customer type, product, region, and status.",System Owner / Analyst,Medium,Higher resilience as the dataset scales
ACT-DFD-D04-CW-01,REC-DFD-D04-CW,D04,Workflow Visibility in Data,"Map the actual lifecycle stages and cross-functional handoffs, then align system fields and statuses to those real steps.",Ops / RevOps,Medium,Workflow data that matches reality
ACT-DFD-D04-CW-02,REC-DFD-D04-CW,D04,Workflow Visibility in Data,"Add timestamp, handoff, queue, backlog, and drop-off markers where lifecycle visibility currently breaks.",System Admin / Analyst,Medium,End-to-end visibility across workflow movement
ACT-DFD-D04-CW-03,REC-DFD-D04-CW,D04,Workflow Visibility in Data,"Build a base view of stage movement, aging, rework, and backlog for management review.",Analyst / BI,Medium,Early identification of hidden bottlenecks
ACT-DFD-D04-D-01,REC-DFD-D04-D,D04,Workflow Visibility in Data,"Add missing fields or statuses for handoff completion, queue state, onboarding progression, and other blind spots.",System Owner / Ops,Medium,Reduced blind spots in workflow reporting
ACT-DFD-D04-D-02,REC-DFD-D04-D,D04,Workflow Visibility in Data,"Introduce aging, delay, drop-off, and rework reporting across critical revenue and service workflows.",Analyst / BI,Medium,Better operational insight into where flow breaks
ACT-DFD-D04-SM-01,REC-DFD-D04-SM,D04,Workflow Visibility in Data,"Create exception views for stalled work, delayed handoffs, unusual cycle time, and abnormal stage dwell.",BI / RevOps,Medium,More action-led workflow reporting
ACT-DFD-D04-SM-02,REC-DFD-D04-SM,D04,Workflow Visibility in Data,"Add comparative views for stage conversion, cycle time, backlog movement, and rework trends.",Analyst / BI,Medium,Better optimisation insight over time
ACT-DFD-D05-CW-01,REC-DFD-D05-CW,D05,KPI & Metric Logic,"Create a KPI dictionary that records exact formulas, inclusion rules, source fields, cadence, targets, and owners.",Analyst / Leadership,Medium,One approved logic set for management KPIs
ACT-DFD-D05-CW-02,REC-DFD-D05-CW,D05,KPI & Metric Logic,"Approve targets, threshold bands, and escalation triggers for the KPIs used in management meetings.",Leadership,Low,Clear interpretation and action rules
ACT-DFD-D05-CW-03,REC-DFD-D05-CW,D05,KPI & Metric Logic,"Align all dashboards, spreadsheets, and management packs to the approved KPI definitions and period logic.",BI / RevOps,Medium,Consistent KPI reporting everywhere
ACT-DFD-D05-D-01,REC-DFD-D05-D,D05,KPI & Metric Logic,"Review current reports for formula, period, and threshold inconsistency and correct them against the approved logic.",Analyst / BI,Medium,Lower risk of metric conflict
ACT-DFD-D05-D-02,REC-DFD-D05-D,D05,KPI & Metric Logic,"Assign KPI owners who validate the number, explain movement, and trigger corrective action where needed.",Leadership / Managers,Low,Clear accountability for KPI use
ACT-DFD-D05-SM-01,REC-DFD-D05-SM,D05,KPI & Metric Logic,Add leading indicators and early-warning thresholds to complement lagging performance measures.,Leadership / Analyst,Medium,More proactive management signals
ACT-DFD-D05-SM-02,REC-DFD-D05-SM,D05,KPI & Metric Logic,Introduce benchmark bands or target ranges so KPI performance can be interpreted consistently by leaders and managers.,Analyst / Leadership,Low,Stronger performance context
ACT-DFD-D06-CW-01,REC-DFD-D06-CW,D06,Reporting & Dashboard Maturity,Remove redundant reports and rebuild the core management pack around trusted source data and decision-critical metrics.,BI / RevOps,Medium,Cleaner and more reliable management reporting
ACT-DFD-D06-CW-02,REC-DFD-D06-CW,D06,Reporting & Dashboard Maturity,Automate dashboard and report builds from approved source data instead of manual spreadsheet manipulation where possible.,BI / Analyst,Medium,Higher trust in report outputs
ACT-DFD-D06-CW-03,REC-DFD-D06-CW,D06,Reporting & Dashboard Maturity,"Add exception views for stage risk, stale records, billing backlog, missing data, and other management triggers.",BI / RevOps,Medium,"Reporting that drives action, not just visibility"
ACT-DFD-D06-D-01,REC-DFD-D06-D,D06,Reporting & Dashboard Maturity,"Standardise dashboard layouts, refresh cadence, naming, and version control across stakeholder groups.",BI / RevOps,Medium,Consistent reporting experience and governance
ACT-DFD-D06-D-02,REC-DFD-D06-D,D06,Reporting & Dashboard Maturity,"Simplify report preparation by removing low-value tabs, duplicate views, and unnecessary manual transformation steps.",Analyst / Ops,Medium,Faster and more consistent reporting cycle
ACT-DFD-D06-SM-01,REC-DFD-D06-SM,D06,Reporting & Dashboard Maturity,"Create role-based views so leaders, managers, and operators each see the metrics and exceptions relevant to them.",BI / Leadership,Medium,Better decision relevance by audience
ACT-DFD-D06-SM-02,REC-DFD-D06-SM,D06,Reporting & Dashboard Maturity,"Add alerting or early-warning indicators for key operational, billing, customer, and data-quality risks.",BI / System Owner,Medium,Faster response to emerging issues
ACT-DFD-D07-CW-01,REC-DFD-D07-CW,D07,Governance & Ownership,"Assign named owners for data quality, KPI definition changes, dashboard logic, report preparation, and final sign-off.",Leadership,Low,Clear governance accountability structure
ACT-DFD-D07-CW-02,REC-DFD-D07-CW,D07,Governance & Ownership,"Document SOPs for data capture, field changes, KPI updates, dashboard changes, and reporting corrections.",RevOps / Ops,Medium,Controlled operating rules for the data layer
ACT-DFD-D07-CW-03,REC-DFD-D07-CW,D07,Governance & Ownership,"Establish a recurring monthly governance review for data issues, KPI exceptions, and unresolved reporting defects.",Leadership / Managers,Low,Routine governance control and follow-through
ACT-DFD-D07-D-01,REC-DFD-D07-D,D07,Governance & Ownership,"Formalise escalation and correction rules for repeat data, KPI, or reporting failures, including who approves fixes.",Ops / RevOps,Medium,More consistent issue resolution
ACT-DFD-D07-D-02,REC-DFD-D07-D,D07,Governance & Ownership,"Use a governance checklist to review ownership, control status, open issues, KPI changes, and dashboard updates.",Analyst / Managers,Low,Better enforcement of governance standards
ACT-DFD-D07-SM-01,REC-DFD-D07-SM,D07,Governance & Ownership,"Run quarterly governance reviews focused on trend analysis, recurring control exceptions, and improvement priorities.",Leadership / RevOps,Low,Higher maturity in governance oversight
ACT-DFD-D07-SM-02,REC-DFD-D07-SM,D07,Governance & Ownership,"Track governance actions, unresolved issues, and control decisions in a visible log with owners and due dates.",RevOps / PMO,Low,Stronger audit trail and follow-through
