question_id,domain_id,workflow_id,step_id,question_text,question_type,question_intent,score_1_guidance,score_3_guidance,score_5_guidance,primary_driver,secondary_driver,linked_metric,issue_type,recommendation_id,action_id,owner_role,automation_flag,ai_flag,roadmap_phase,priority_weight,audit_scoring_focus,evidence_examples,customer_impact_if_weak,severity_band_logic,workflow_name,workflow_objective,domain_name,recommendation_title,recommendation_text,expected_outcome,action_title,action_text,action_deliverable,success_measure,indicative_timeline,transformation_id,transformation_type,transformation_title,transformation_text
Q-D01-01-01,D01,WF-D01-01,ST-D01-01-01,"Is strategy and growth planning designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that strategic priorities are translated into funded initiatives, owners, milestones, and review routines?",process,definition,"There is no single agreed operating design for strategy and growth planning. Key elements such as planning inputs, decision points, ownership, cadence, and approval rules are unclear, poorly documented, or owned informally, and evidence such as planning calendar, priority register, and meeting pack or planning deck is missing, outdated, or not used in practice.","A baseline design exists for strategy and growth planning, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Strategy and Growth Planning is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",Strategic Clarity,Resource Allocation Discipline,Revenue Plan Attainment Risk,unclear_workflow_definition,REC-D01-01-01,ACT-D01-01-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for strategy and growth planning.","planning calendar, priority register, and meeting pack or planning deck","If weak, strategy and growth planning becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Strategy and Growth Planning,"strategic priorities are translated into funded initiatives, owners, milestones, and review routines",Business Foundation,Design and standardize Strategy and Growth Planning,"Redesign strategy and growth planning as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that strategic priorities are translated into funded initiatives, owners, milestones, and review routines rather than depending on informal practice.",A documented and owned standard for strategy and growth planning that teams can follow consistently.,Define the operating standard for Strategy and Growth Planning,"Map the current state of strategy and growth planning, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as planning calendar, priority register, and meeting pack or planning deck. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.","a documented planning rhythm with RACI, inputs, outputs, and decision checkpoints",The team can point to a current standard for strategy and growth planning and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",TRN-D01-01-01,Process,Process blueprint for Strategy and Growth Planning,"Before automation is layered on, create a stable process blueprint for strategy and growth planning with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design."
Q-D01-01-02,D01,WF-D01-01,ST-D01-01-02,"Does strategy and growth planning run consistently in practice, meeting expected turnaround, quality, and handoff standards so that planning cycles happen on time, use the right inputs, and translate into committed actions without avoidable delay, rework, or dependence on individual heroics?",quality,execution,"Strategy and Growth Planning is executed inconsistently and is regularly affected by late inputs, unclear priorities, weak follow-through, and decisions being revisited repeatedly. Work is often delayed, reworked, or completed through manual chasing, with limited confidence in turnaround, quality, or downstream readiness.","Strategy and Growth Planning usually happens, but performance is still uneven. The team can complete routine work, yet exceptions, delays, quality misses, or inconsistent adherence to standards still create friction often enough to affect business performance.","Strategy and Growth Planning runs predictably and at the expected quality level. Turnaround, handoffs, and exception handling are controlled, and teams rarely need to rely on ad hoc workarounds to complete the workflow successfully.",Strategic Clarity,Resource Allocation Discipline,Revenue Plan Attainment Risk,inconsistent_workflow_execution,REC-D01-01-02,ACT-D01-01-02,Executive Leadership,Yes,No,Phase 1,High,"Look for evidence of real operating discipline in strategy and growth planning, including turnaround, quality, rework, SLA adherence, and exception handling.","planning calendar, priority register, and meeting pack or planning deck","If weak, day-to-day performance in strategy and growth planning creates avoidable delay, rework, and customer or commercial friction.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Strategy and Growth Planning,"strategic priorities are translated into funded initiatives, owners, milestones, and review routines",Business Foundation,Stabilize execution of Strategy and Growth Planning,"Stabilize day-to-day execution of strategy and growth planning by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.","More predictable execution of strategy and growth planning with lower delay, less rework, and cleaner downstream handoffs.",Remove execution friction in Strategy and Growth Planning,"Diagnose where strategy and growth planning breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.","A stabilisation plan for strategy and growth planning covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in strategy and growth planning over the next review cycles.",4-8 weeks to stabilise and embed,TRN-D01-01-02,Automation,Workflow automation for Strategy and Growth Planning,"Use workflow automation to reduce delay-prone manual steps in strategy and growth planning, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include automated planning reminders, action trackers, and exception workflows."
Q-D01-01-03,D01,WF-D01-01,ST-D01-01-03,"Is strategy and growth planning controlled through defined KPIs, timely exception visibility, and management review so issues are identified early and corrected before they materially affect revenue plan attainment risk?",control,visibility_control,"The business has weak visibility over strategy and growth planning. KPIs such as on-time planning cycle completion, initiative milestone attainment, and variance to plan are absent, unreliable, or reviewed too late, so issues are usually discovered after they have already affected performance, customers, or revenue.","Basic reporting exists for strategy and growth planning, but KPI definitions, data quality, review cadence, or action follow-through are not yet strong enough to provide full control. Some issues are surfaced in time, but others still remain hidden or unresolved for too long.","Strategy and Growth Planning is actively controlled through trusted KPIs such as on-time planning cycle completion, initiative milestone attainment, and variance to plan, regular review, clear thresholds, and owned corrective actions. Exceptions are visible early and leaders can intervene before the issue becomes material.",Strategic Clarity,Resource Allocation Discipline,Revenue Plan Attainment Risk,weak_workflow_visibility_and_control,REC-D01-01-03,ACT-D01-01-03,Executive Leadership,Yes,No,Phase 2,High,"Look for trusted KPI visibility over strategy and growth planning, including metric definitions, review cadence, escalation, and closure of corrective actions.","planning calendar, priority register, and meeting pack or planning deck","If weak, leaders cannot see performance issues in strategy and growth planning early enough to protect revenue plan attainment risk.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Strategy and Growth Planning,"strategic priorities are translated into funded initiatives, owners, milestones, and review routines",Business Foundation,Introduce KPI control for Strategy and Growth Planning,"Establish a management-control layer for strategy and growth planning with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue plan attainment risk.",Earlier visibility into issues within strategy and growth planning and faster corrective action through KPI-based management.,Build KPI and exception control for Strategy and Growth Planning,"Define the small set of KPIs, service thresholds, and exception categories required to manage strategy and growth planning well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.","A KPI control pack for strategy and growth planning covering on-time planning cycle completion, initiative milestone attainment, and variance to plan, thresholds, owners, and escalation rules.",Management can review trusted KPIs for strategy and growth planning regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",TRN-D01-01-03,Automation,"Control, alerting, and intelligence for Strategy and Growth Planning","Use dashboards, alerts, and selective intelligence to improve control over strategy and growth planning. Typical opportunities include automated planning reminders, action trackers, and exception workflows, with higher-value intelligence layers such as initiative risk scoring and summary generation from review packs once underlying data is reliable."
Q-D01-02-01,D01,WF-D01-02,ST-D01-02-01,"Is customer and segment definition designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that the business targets the right customers and segments with clear qualification and value propositions?",process,definition,"There is no single agreed operating design for customer and segment definition. Key elements such as segment criteria, customer definitions, qualification logic, and ownership of updates are unclear, poorly documented, or owned informally, and evidence such as ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP is missing, outdated, or not used in practice.","A baseline design exists for customer and segment definition, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Customer and Segment Definition is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",ICP Clarity,Segment Prioritisation Discipline,Target Segment Conversion Leakage,unclear_workflow_definition,REC-D01-02-01,ACT-D01-02-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for customer and segment definition.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","If weak, customer and segment definition becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Customer and Segment Definition,the business targets the right customers and segments with clear qualification and value propositions,Business Foundation,Design and standardize Customer and Segment Definition,"Redesign customer and segment definition as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that the business targets the right customers and segments with clear qualification and value propositions rather than depending on informal practice.",A documented and owned standard for customer and segment definition that teams can follow consistently.,Define the operating standard for Customer and Segment Definition,"Map the current state of customer and segment definition, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",an approved segmentation framework embedded in commercial processes and systems,The team can point to a current standard for customer and segment definition and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",TRN-D01-02-01,Process,Process blueprint for Customer and Segment Definition,"Before automation is layered on, create a stable process blueprint for customer and segment definition with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design."
Q-D01-02-02,D01,WF-D01-02,ST-D01-02-02,"Does customer and segment definition run consistently in practice, meeting expected turnaround, quality, and handoff standards so that teams consistently use the same customer and segment definitions in targeting, qualification, and reporting without avoidable delay, rework, or dependence on individual heroics?",quality,execution,"Customer and Segment Definition is executed inconsistently and is regularly affected by targeting drift, poor-fit leads, inconsistent qualification, and reporting that cannot be segmented cleanly. Work is often delayed, reworked, or completed through manual chasing, with limited confidence in turnaround, quality, or downstream readiness.","Customer and Segment Definition usually happens, but performance is still uneven. The team can complete routine work, yet exceptions, delays, quality misses, or inconsistent adherence to standards still create friction often enough to affect business performance.","Customer and Segment Definition runs predictably and at the expected quality level. Turnaround, handoffs, and exception handling are controlled, and teams rarely need to rely on ad hoc workarounds to complete the workflow successfully.",ICP Clarity,Segment Prioritisation Discipline,Target Segment Conversion Leakage,inconsistent_workflow_execution,REC-D01-02-02,ACT-D01-02-02,Executive Leadership,Yes,No,Phase 1,High,"Look for evidence of real operating discipline in customer and segment definition, including turnaround, quality, rework, SLA adherence, and exception handling.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","If weak, day-to-day performance in customer and segment definition creates avoidable delay, rework, and customer or commercial friction.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Customer and Segment Definition,the business targets the right customers and segments with clear qualification and value propositions,Business Foundation,Stabilize execution of Customer and Segment Definition,"Stabilize day-to-day execution of customer and segment definition by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.","More predictable execution of customer and segment definition with lower delay, less rework, and cleaner downstream handoffs.",Remove execution friction in Customer and Segment Definition,"Diagnose where customer and segment definition breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.","A stabilisation plan for customer and segment definition covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in customer and segment definition over the next review cycles.",4-8 weeks to stabilise and embed,TRN-D01-02-02,Automation,Workflow automation for Customer and Segment Definition,"Use workflow automation to reduce delay-prone manual steps in customer and segment definition, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include auto-tagging and routing by segment rules."
Q-D01-02-03,D01,WF-D01-02,ST-D01-02-03,"Is customer and segment definition controlled through defined KPIs, timely exception visibility, and management review so issues are identified early and corrected before they materially affect target segment conversion leakage?",control,visibility_control,"The business has weak visibility over customer and segment definition. KPIs such as qualified lead rate by segment, win rate by segment, and revenue mix by segment are absent, unreliable, or reviewed too late, so issues are usually discovered after they have already affected performance, customers, or revenue.","Basic reporting exists for customer and segment definition, but KPI definitions, data quality, review cadence, or action follow-through are not yet strong enough to provide full control. Some issues are surfaced in time, but others still remain hidden or unresolved for too long.","Customer and Segment Definition is actively controlled through trusted KPIs such as qualified lead rate by segment, win rate by segment, and revenue mix by segment, regular review, clear thresholds, and owned corrective actions. Exceptions are visible early and leaders can intervene before the issue becomes material.",ICP Clarity,Segment Prioritisation Discipline,Target Segment Conversion Leakage,weak_workflow_visibility_and_control,REC-D01-02-03,ACT-D01-02-03,Executive Leadership,Yes,No,Phase 2,High,"Look for trusted KPI visibility over customer and segment definition, including metric definitions, review cadence, escalation, and closure of corrective actions.","ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","If weak, leaders cannot see performance issues in customer and segment definition early enough to protect target segment conversion leakage.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Customer and Segment Definition,the business targets the right customers and segments with clear qualification and value propositions,Business Foundation,Introduce KPI control for Customer and Segment Definition,"Establish a management-control layer for customer and segment definition with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect target segment conversion leakage.",Earlier visibility into issues within customer and segment definition and faster corrective action through KPI-based management.,Build KPI and exception control for Customer and Segment Definition,"Define the small set of KPIs, service thresholds, and exception categories required to manage customer and segment definition well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.","A KPI control pack for customer and segment definition covering qualified lead rate by segment, win rate by segment, and revenue mix by segment, thresholds, owners, and escalation rules.",Management can review trusted KPIs for customer and segment definition regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",TRN-D01-02-03,Automation,"Control, alerting, and intelligence for Customer and Segment Definition","Use dashboards, alerts, and selective intelligence to improve control over customer and segment definition. Typical opportunities include auto-tagging and routing by segment rules, with higher-value intelligence layers such as propensity models for segment fit and prioritization once underlying data is reliable."
Q-D01-03-01,D01,WF-D01-03,ST-D01-03-01,"Is offer and service design designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that offers are commercially viable, operationally deliverable, and clearly scoped before they are sold?",process,definition,"There is no single agreed operating design for offer and service design. Key elements such as scope, design principles, pricing/commercial assumptions, handoff points, and quality requirements are unclear, poorly documented, or owned informally, and evidence such as offer catalogue, service blueprint, and commercial rules is missing, outdated, or not used in practice.","A baseline design exists for offer and service design, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Offer and Service Design is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",Offer Fit and Clarity,Delivery Viability,Offer Margin and Win-Rate Leakage,unclear_workflow_definition,REC-D01-03-01,ACT-D01-03-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for offer and service design.","offer catalogue, service blueprint, and commercial rules","If weak, offer and service design becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Offer and Service Design,"offers are commercially viable, operationally deliverable, and clearly scoped before they are sold",Business Foundation,Design and standardize Offer and Service Design,"Redesign offer and service design as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that offers are commercially viable, operationally deliverable, and clearly scoped before they are sold rather than depending on informal practice.",A documented and owned standard for offer and service design that teams can follow consistently.,Define the operating standard for Offer and Service Design,"Map the current state of offer and service design, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as offer catalogue, service blueprint, and commercial rules. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.","a controlled design standard with approved options, boundaries, and governance",The team can point to a current standard for offer and service design and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",TRN-D01-03-01,Process,Process blueprint for Offer and Service Design,"Before automation is layered on, create a stable process blueprint for offer and service design with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design."
Q-D01-03-02,D01,WF-D01-03,ST-D01-03-02,"Does offer and service design run consistently in practice, meeting expected turnaround, quality, and handoff standards so that the designed offer or process is used consistently and can be delivered as sold without avoidable delay, rework, or dependence on individual heroics?",quality,execution,"Offer and Service Design is executed inconsistently and is regularly affected by custom work bypasses standards, scope is ambiguous, and teams sell or deliver inconsistent versions. Work is often delayed, reworked, or completed through manual chasing, with limited confidence in turnaround, quality, or downstream readiness.","Offer and Service Design usually happens, but performance is still uneven. The team can complete routine work, yet exceptions, delays, quality misses, or inconsistent adherence to standards still create friction often enough to affect business performance.","Offer and Service Design runs predictably and at the expected quality level. Turnaround, handoffs, and exception handling are controlled, and teams rarely need to rely on ad hoc workarounds to complete the workflow successfully.",Offer Fit and Clarity,Delivery Viability,Offer Margin and Win-Rate Leakage,inconsistent_workflow_execution,REC-D01-03-02,ACT-D01-03-02,Executive Leadership,Yes,No,Phase 1,High,"Look for evidence of real operating discipline in offer and service design, including turnaround, quality, rework, SLA adherence, and exception handling.","offer catalogue, service blueprint, and commercial rules","If weak, day-to-day performance in offer and service design creates avoidable delay, rework, and customer or commercial friction.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Offer and Service Design,"offers are commercially viable, operationally deliverable, and clearly scoped before they are sold",Business Foundation,Stabilize execution of Offer and Service Design,"Stabilize day-to-day execution of offer and service design by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.","More predictable execution of offer and service design with lower delay, less rework, and cleaner downstream handoffs.",Remove execution friction in Offer and Service Design,"Diagnose where offer and service design breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.","A stabilisation plan for offer and service design covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in offer and service design over the next review cycles.",4-8 weeks to stabilise and embed,TRN-D01-03-02,Automation,Workflow automation for Offer and Service Design,"Use workflow automation to reduce delay-prone manual steps in offer and service design, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include guided configuration and rule-based approvals."
Q-D01-03-03,D01,WF-D01-03,ST-D01-03-03,"Is offer and service design controlled through defined KPIs, timely exception visibility, and management review so issues are identified early and corrected before they materially affect offer margin and win-rate leakage?",control,visibility_control,"The business has weak visibility over offer and service design. KPIs such as gross margin by offer, delivery variance, and exception rate to standard are absent, unreliable, or reviewed too late, so issues are usually discovered after they have already affected performance, customers, or revenue.","Basic reporting exists for offer and service design, but KPI definitions, data quality, review cadence, or action follow-through are not yet strong enough to provide full control. Some issues are surfaced in time, but others still remain hidden or unresolved for too long.","Offer and Service Design is actively controlled through trusted KPIs such as gross margin by offer, delivery variance, and exception rate to standard, regular review, clear thresholds, and owned corrective actions. Exceptions are visible early and leaders can intervene before the issue becomes material.",Offer Fit and Clarity,Delivery Viability,Offer Margin and Win-Rate Leakage,weak_workflow_visibility_and_control,REC-D01-03-03,ACT-D01-03-03,Executive Leadership,Yes,No,Phase 2,High,"Look for trusted KPI visibility over offer and service design, including metric definitions, review cadence, escalation, and closure of corrective actions.","offer catalogue, service blueprint, and commercial rules","If weak, leaders cannot see performance issues in offer and service design early enough to protect offer margin and win-rate leakage.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Offer and Service Design,"offers are commercially viable, operationally deliverable, and clearly scoped before they are sold",Business Foundation,Introduce KPI control for Offer and Service Design,"Establish a management-control layer for offer and service design with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect offer margin and win-rate leakage.",Earlier visibility into issues within offer and service design and faster corrective action through KPI-based management.,Build KPI and exception control for Offer and Service Design,"Define the small set of KPIs, service thresholds, and exception categories required to manage offer and service design well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.","A KPI control pack for offer and service design covering gross margin by offer, delivery variance, and exception rate to standard, thresholds, owners, and escalation rules.",Management can review trusted KPIs for offer and service design regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",TRN-D01-03-03,Automation,"Control, alerting, and intelligence for Offer and Service Design","Use dashboards, alerts, and selective intelligence to improve control over offer and service design. Typical opportunities include guided configuration and rule-based approvals, with higher-value intelligence layers such as recommendations for offer configuration based on deal context once underlying data is reliable."
Q-D01-04-01,D01,WF-D01-04,ST-D01-04-01,"Is pricing model design designed as a clear end-to-end operating process—with documented scope, trigger points, required inputs, decision rights, systems, and ownership—so that pricing reflects value, protects margin, and can be applied consistently across teams and systems?",process,definition,"There is no single agreed operating design for pricing model design. Key elements such as pricing architecture, discount rules, approval rights, and approved exceptions are unclear, poorly documented, or owned informally, and evidence such as price book, discount matrix, and approval matrix is missing, outdated, or not used in practice.","A baseline design exists for pricing model design, but it is not yet complete or consistently adopted. Some ownership, documentation, or handoff rules are defined, but teams still rely on local workarounds or individual interpretation in important areas.","Pricing Model Design is defined as a controlled end-to-end process. Scope, triggers, entry and exit criteria, ownership, decision rights, system steps, and handoffs are documented, current, and used consistently by the teams involved.",Pricing Architecture,Margin Protection,Pricing / Discount Leakage,unclear_workflow_definition,REC-D01-04-01,ACT-D01-04-01,Executive Leadership,No,No,Phase 2,High,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for pricing model design.","price book, discount matrix, and approval matrix","If weak, pricing model design becomes dependent on tribal knowledge and makes it harder to scale with strong operating model clarity, strategic alignment, and management control.",Scores 1-2 = Critical / Weak; Score 3 = Developing; Scores 4-5 = Strong / Managed,Pricing Model Design,"pricing reflects value, protects margin, and can be applied consistently across teams and systems",Business Foundation,Design and standardize Pricing Model Design,"Redesign pricing model design as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that pricing reflects value, protects margin, and can be applied consistently across teams and systems rather than depending on informal practice.",A documented and owned standard for pricing model design that teams can follow consistently.,Define the operating standard for Pricing Model Design,"Map the current state of pricing model design, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as price book, discount matrix, and approval matrix. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",a governed pricing model with exception paths and approval thresholds,The team can point to a current standard for pricing model design and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",TRN-D01-04-01,Process,Process blueprint for Pricing Model Design,"Before automation is layered on, create a stable process blueprint for pricing model design with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design."
