Question ID,Audit Module,Domain ID,Domain Name,Question Text,Evidence Type,Weight Within Domain,Active
DFD-001,Kinto Data Foundation Audit,D01,Source of Truth & System Architecture,"Is there a formally approved system of record for leads, opportunities, customers, invoices, and renewal data, or do different teams rely on different sources?",System inventory; source-owner interviews; reporting source map,1,Y
DFD-002,Kinto Data Foundation Audit,D01,Source of Truth & System Architecture,"Are spreadsheets used for analysis and presentation only, rather than to create, update, or override pipeline, billing, or customer-status data outside the controlled system?",Spreadsheet inventory; version history; reporting workflow walkthrough,1,Y
DFD-003,Kinto Data Foundation Audit,D01,Source of Truth & System Architecture,"Are CRM, finance, service, and reporting fields aligned so that account, deal, invoice, and customer records can be reconciled without manual remapping?",Field dictionary; object mapping; integration or export review,1,Y
DFD-004,Kinto Data Foundation Audit,D01,Source of Truth & System Architecture,"Can each critical KPI be traced to a defined source object, exact field set, owner, and refresh method?",KPI list; metric dictionary; dashboard logic review,1,Y
DFD-005,Kinto Data Foundation Audit,D02,Data Capture Discipline,"Are required fields enforced at the stage where work occurs, including owner, status, amount, dates, source, and next-step data?",Field configuration review; required-field rules; record sample test,1,Y
DFD-006,Kinto Data Foundation Audit,D02,Data Capture Discipline,"Are stage changes, close dates, invoice dates, renewal dates, and ownership updates made within an agreed timeframe after the real-world event occurs?",Timestamp audit; workflow SLA review; record-history sample,1,Y
DFD-007,Kinto Data Foundation Audit,D02,Data Capture Discipline,"Do teams use the same data-entry rules for naming, stage/status selection, reason codes, and record completion across the revenue workflow?",User guide / SOP review; cross-team record sample; manager interviews,1,Y
DFD-008,Kinto Data Foundation Audit,D02,Data Capture Discipline,Can reporting run without last-minute manual cleanup because records are maintained correctly throughout the month?,Month-end reporting walkthrough; cleanup log; reporting owner interviews,1,Y
DFD-009,Kinto Data Foundation Audit,D03,Data Quality & Integrity,"Are duplicate accounts, contacts, opportunities, invoices, and products actively prevented or resolved before they distort counts and reporting?",Duplicate scan; merge rules; sample record review,1,Y
DFD-010,Kinto Data Foundation Audit,D03,Data Quality & Integrity,"Is the core data needed for funnel, forecast, billing, cash-collection, and retention reporting complete enough to avoid manual patching?",Required-field completeness test; KPI input review; report rebuild sample,1,Y
DFD-011,Kinto Data Foundation Audit,D03,Data Quality & Integrity,"Are records current and aligned to the latest business event, rather than sitting in stale stages or outdated statuses?",Record aging review; stage-status audit; event-to-system comparison,1,Y
DFD-012,Kinto Data Foundation Audit,D03,Data Quality & Integrity,"Are categories such as lead source, loss reason, product/service, region, invoice status, and customer type used consistently enough for reliable roll-up analysis?",Taxonomy review; picklist audit; grouped report test,1,Y
DFD-013,Kinto Data Foundation Audit,D04,Workflow Visibility in Data,"Can the data show the full path from lead creation through qualification, proposal, close, invoicing, payment, onboarding, and renewal without major blind spots?",Lifecycle map; end-to-end record trace; management report review,1,Y
DFD-014,Kinto Data Foundation Audit,D04,Workflow Visibility in Data,"Are cross-functional handoffs visible in the data, with timestamps, owners, and status markers when work moves between marketing, sales, operations, finance, and customer teams?",Handoff field review; timestamp test; workflow interviews,1,Y
DFD-015,Kinto Data Foundation Audit,D04,Workflow Visibility in Data,"Can the business measure stage aging, rework, backlog, and drop-off across its critical revenue and service workflows?",Aging reports; queue review; stage-conversion analysis,1,Y
DFD-016,Kinto Data Foundation Audit,D04,Workflow Visibility in Data,"Do system fields and statuses reflect how work actually happens, including exceptions and rework, rather than an idealised process that users bypass?",Process walkthrough; status-field audit; exception case review,1,Y
DFD-017,Kinto Data Foundation Audit,D05,KPI & Metric Logic,"Are KPIs defined with clear numerators, denominators, inclusion/exclusion rules, source fields, refresh cadence, and business intent?",Metric definitions; formula review; source-field mapping,1,Y
DFD-018,Kinto Data Foundation Audit,D05,KPI & Metric Logic,"Do dashboards, spreadsheet models, and management packs use the same KPI formulas and period logic?",Cross-report formula test; dashboard comparison; period logic review,1,Y
DFD-019,Kinto Data Foundation Audit,D05,KPI & Metric Logic,"Are targets, thresholds, and benchmark bands defined for the KPIs leadership uses to run the business?",Target-setting review; leadership packs; KPI threshold register,1,Y
DFD-020,Kinto Data Foundation Audit,D05,KPI & Metric Logic,"Is each KPI assigned to an owner responsible for maintaining the definition, validating the result, and driving action from it?",Ownership matrix; KPI governance review; management interviews,1,Y
DFD-021,Kinto Data Foundation Audit,D06,Reporting & Dashboard Maturity,"Do dashboards and reporting packs surface the decisions, exceptions, and risks leaders actually need to manage, rather than just listing raw figures?",Dashboard walkthrough; management pack review; leadership interviews,1,Y
DFD-022,Kinto Data Foundation Audit,D06,Reporting & Dashboard Maturity,"Are reports refreshed from controlled source data with minimal manual manipulation, version confusion, or offline adjustments?",Refresh workflow review; version-control check; report preparation sample,1,Y
DFD-023,Kinto Data Foundation Audit,D06,Reporting & Dashboard Maturity,"Can leadership quickly identify pipeline slippage, stale records, billing backlog, renewal risk, and data-quality exceptions from current reporting?",Exception report review; dashboard test; leadership meeting pack,1,Y
DFD-024,Kinto Data Foundation Audit,D06,Reporting & Dashboard Maturity,"Are teams using one published management pack or dashboard logic, rather than parallel reports that say different things?",Report inventory; source comparison; stakeholder interviews,1,Y
